Slug,Admin URL,Title,Lead organisations,Supporting organisations,Document type,Content sub-type,State,History-mode applied,New lead organisations,New supporting organisations
/government/publications/devolution-guidance-for-civil-servants,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1491271,Devolution: Guidance for civil servants,"Cabinet Office | Civil Service | Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/cabinet-office,/government/organisations/civil-service",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/commercial-rent-code-of-practice,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1319768,Commercial rent code of practice,"Department for Business and Trade | Department for Levelling Up, Housing and Communities ","Department for Business, Energy & Industrial Strategy",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,
/government/publications/better-connected-a-practical-guide-to-utilities-for-home-builders,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/439150,Better connected: a practical guide to utilities for home builders,"Department for Culture, Media and Sport | Department for Environment, Food & Rural Affairs | Department for Energy Security and Net Zero | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-environment-food-rural-affairs,/government/organisations/department-for-culture-media-and-sport,/government/organisations/department-for-energy-security-and-net-zero","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/department-for-digital-culture-media-sport"
/government/publications/guidance-relating-to-dynamic-performance-requirements-for-permanent-grandstands-subject-to-crowd-action,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/238796,Guidance relating to dynamic performance requirements for permanent grandstands subject to crowd action,"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport,","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/collections/tenant-management-organisations-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/282726,Right to Manage guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/innovation-in-democracy-workshop-materials,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/906506,Innovation in Democracy: Workshop Materials,"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/publications/innovation-in-democracy-programme-expression-of-interest-eoi,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/909914,Innovation in Democracy Programme: Expression of Interest (EoI),"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Form,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/publications/innovation-in-democracy-programme-launch,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1080660,The Innovation in Democracy Programme (IiDP),"Department for Culture, Media and Sport | Department for Levelling Up, Housing and Communities ","Department for Digital, Culture, Media & Sport",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-culture-media-and-sport","/government/organisations/department-for-digital-culture-media-sport,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/collections/capital-finance-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/376426,Capital finance guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/delivering-schools-to-support-housing-growth,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1455179,Delivering schools to support housing growth,Department for Education,"Department for Levelling Up, Housing and Communities ",Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-education",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/a-coastal-concordat-for-england,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1354795,A coastal concordat for England,"Department for Environment, Food & Rural Affairs | Department for Levelling Up, Housing and Communities  | Department for Transport",Marine Management Organisation | Environment Agency | Natural England,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-environment-food-rural-affairs,/government/organisations/department-for-transport,","/government/organisations/marine-management-organisation,/government/organisations/environment-agency,/government/organisations/natural-england,/government/organisations/department-for-levelling-up-housing-and-communities"
/government/publications/guidance-on-community-action-during-severe-weather,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/11252,Guidance on community action during severe weather,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,force published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/freedom-to-pray-advice-to-parish-councils,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/11293,Freedom to pray: advice to parish councils,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,force published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/community-right-to-bid-non-statutory-advice-note-for-local-authorities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/16517,Community Right to Bid: non-statutory advice note for local authorities,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/mortgage-sales-guidance-for-local-authorities-and-registered-social-landlords,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/201649,Mortgage sales guidance for local authorities and registered social landlords,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/housing-health-and-safety-rating-system-enforcement-guidance-housing-conditions,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/201655,Housing health and safety rating system (HHSRS) enforcement guidance: housing conditions,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/reducing-the-risks-the-housing-health-and-safety-rating-system,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/201659,Reducing the risks: the housing health and safety rating system (HHSRS),"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/empty-dwelling-management-orders-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/201674,Empty Dwelling Management Orders: guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/high-hedges-complaints-prevention-and-cure,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/219451,High hedges complaints: prevention and cure,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/public-request-to-order-disposal-land-owners-cover-letter-and-questionnaire,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/438713,Public Request to Order Disposal: land owner's cover letter and questionnaire,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/matters-relating-to-high-hedges-notes-to-local-authorities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/219456,Matters relating to high hedges: notes to local authorities,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/display-energy-certificate-software-specification,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/219458,Display energy certificate software specification,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/the-energy-performance-of-buildings-certificates-and-inspections-england-and-wales-regulations-2007-si-2007991,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/235738,The Energy Performance of Buildings (Certificates and Inspections) (England and Wales) Regulations 2007 (S.I. 2007/991),"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/building-and-approved-inspector-amendment-regulations-2007-si-20073384,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/235839,Building and Approved Inspector (Amendment) Regulations 2007 (S.I. 2007/3384),"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/openness-and-transparency-on-personal-interests-guidance-for-councillors,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/238959,Openness and transparency on personal interests: guidance for councillors,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/residential-long-leaseholders-a-guide-to-your-rights-and-responsibilities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/248733,Residential long leaseholders - a guide to your rights and responsibilities,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/letting-your-home,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/248735,Letting your home,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/competent-person-scheme-minimum-technical-competence-requirements,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/309714,Competent person scheme: minimum technical competence requirements,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/open-and-accountable-local-government-plain-english-guide,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/374195,Open and accountable local government: plain English guide,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/homelessness-data-notes-and-definitions,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/827220,Homelessness data: notes and definitions,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/park-homes-proposal-notice,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/376718,Park homes: proposal notice,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/park-homes-consultation-response,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/376720,Park homes: consultation response,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/park-homes-notification-of-deposit,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/376731,Park homes: notification of deposit,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/park-homes-notification-of-deposit-of-deletion-notice,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/376734,Park homes: notification of deposit of deletion notice,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/build-to-rent,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/878047,Build to rent,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/buyers-information-form-park-homes,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/380521,Buyer's information form: park homes,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/notice-of-proposed-sale-form-park-homes,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/380525,Notice of proposed sale form: park homes,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/assignment-form-park-homes,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/380529,Assignment form: park homes,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/notice-of-assignment-form-park-homes,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/380530,Notice of assignment form: park homes,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/notice-of-proposed-gift-form-park-homes,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/380536,Notice of proposed gift form: park homes,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Form,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/building-regulations-determinations-and-appeals-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/402697,Building regulations determinations and appeals: guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/top-tips-for-landlords-assured-shorthold-tenancies,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/565969,Assured shorthold tenancies: top tips for landlords,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/exemptions-from-rent-reduction-local-authorities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/667841,Exemptions from rent reduction (local authorities),"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/right-to-acquire-discounts-by-location,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/668950,Right to Acquire discounts by location,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/build-to-rent-guide-for-local-authorities,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/671916,Build to Rent: guide for local authorities,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/effective-use-of-land,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/977455,Effective use of land,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/plain-english-guide-to-planning-for-free-schools,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/809356,Plain English guide to planning for free schools,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/rural-housing,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/979004,Rural housing,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/right-to-contest,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/981073,Challenging the government to sell land or property,"Department for Levelling Up, Housing and Communities  | Cabinet Office | HM Treasury",,Detailed Guide,N/A,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/cabinet-office,/government/organisations/hm-treasury",/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/homelessness-reduction-bill-policy-factsheets,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/812766,Homelessness Reduction Act: policy factsheets,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/grenfell-environmental-checks-stage-1-report,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1003410,Grenfell environmental checks: stage 1 report,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/leaseholds-limitation-of-administration-charges-for-costs-of-proceedings-guidance-to-changes,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/814645,Leaseholds: limitation of administration charges for costs of proceedings - guidance to changes,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/housing-guarantee-scheme-rules-private-rented-sector,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/817200,Housing guarantee scheme rules: private rented sector,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/social-housing-allocations-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1076421,Social housing allocations guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/banning-orders-for-landlords-and-property-agents-under-the-housing-and-planning-act-2016,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/827781,Banning orders for landlords and property agents under the Housing and Planning Act 2016,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/guidance/building-safety-programme-announcements,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1092143,Building Safety Programme: announcements,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/land-value-estimates,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1096035,Land value estimates,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/database-of-rogue-landlords-and-property-agents-under-the-housing-and-planning-act-2016,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/827841,Database of rogue landlords and property agents under the Housing and Planning Act 2016,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Statutory guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/rent-repayment-orders-under-the-housing-and-planning-act-2016,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/827972,Rent repayment orders under the Housing and Planning Act 2016,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Statutory guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/new-towns-act-1981-local-authority-oversight-regulations-2018-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/856447,New Towns Act 1981 (Local Authority Oversight) Regulations 2018: guidance,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/regulated-tenancies,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/883173,Regulated tenancies,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/local-plan-making-regulations-new-burdens-assessment,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/896972,Local plan-making regulations: new burdens assessment,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/homelessness-and-rough-sleeping-research-further-information-sheet,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/900323,Homelessness and rough sleeping research: further information sheet,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
