Source,Destination
/AAIB,/government/organisations/air-accidents-investigation-branch
/aaib,/government/organisations/air-accidents-investigation-branch
/ACCEA,/government/organisations/advisory-committee-on-clinical-excellence-awards
/accea,/government/organisations/advisory-committee-on-clinical-excellence-awards
/ACCO,/government/organisations/advisory-committee-on-conscientious-objectors
/acco,/government/organisations/advisory-committee-on-conscientious-objectors
/ACJP,/government/organisations/advisory-committees-on-justices-of-the-peace
/acjp,/government/organisations/advisory-committees-on-justices-of-the-peace
/ACMD,/government/organisations/advisory-council-on-the-misuse-of-drugs
/acmd,/government/organisations/advisory-council-on-the-misuse-of-drugs
/ACRE,/government/organisations/advisory-committee-on-releases-to-the-environment
/acre,/government/organisations/advisory-committee-on-releases-to-the-environment
/adjudicators-office,/government/organisations/the-adjudicator-s-office
/AFPRB,/government/organisations/armed-forces-pay-review-body
/afprb,/government/organisations/armed-forces-pay-review-body
/AGMM,/government/organisations/advisory-group-on-military-medicine
/agmm,/government/organisations/advisory-group-on-military-medicine
/AGO,/government/organisations/attorney-generals-office
/ago,/government/organisations/attorney-generals-office
/AHVLA,/government/organisations/animal-health-and-veterinary-laboratories-agency
/ahvla,/government/organisations/animal-health-and-veterinary-laboratories-agency
/airports-commission,/government/organisations/airports-commission
/ALT,/government/organisations/hm-courts-and-tribunals-service
/alt,/government/organisations/hm-courts-and-tribunals-service
/animals-in-science-committee,/government/organisations/animals-in-science-committee
/APC,/government/organisations/animal-procedures-committee
/apc,/government/organisations/animal-procedures-committee
/behavioural-insights-team,/government/organisations/behavioural-insights-team
/biometrics-commissioner,/government/organisations/biometrics-commissioner
/BIS,/government/organisations/department-for-business-innovation-skills
/bis,/government/organisations/department-for-business-innovation-skills
/bonavacantia,/government/organisations/bona-vacantia
/border-force,/government/organisations/border-force
/BRAC,/government/organisations/building-regulations-advisory-committee
/brac,/government/organisations/building-regulations-advisory-committee
/british-hallmarking-council,/government/organisations/british-hallmarking-council
/cabinet-office,/government/organisations/cabinet-office
/cabinetoffice,/government/organisations/cabinet-office
/CAC,/government/organisations/central-arbitration-committee
/cac,/government/organisations/central-arbitration-committee
/cac-pensions,/government/organisations/central-advisory-committee-on-pensions-and-compensation
/ca-tribunal,/government/organisations/competition-appeal-tribunal
/CCRC,/government/organisations/criminal-cases-review-commission
/ccrc,/government/organisations/criminal-cases-review-commission
/certification-office,/government/organisations/certification-office
/CFEL,/government/organisations/capital-for-enterprise-ltd
/cfel,/government/organisations/capital-for-enterprise-ltd
/CFRA,/government/organisations/chief-fire-and-rescue-adviser-unit
/cfra,/government/organisations/chief-fire-and-rescue-adviser-unit
/charity-commission,/government/organisations/charity-commission
/chevening-foundation,/government/organisations/chevening-foundation
/CH,/government/organisations/companies-house
/ch,/government/organisations/companies-house
/childrens-commissioner,/government/organisations/office-of-the-children-s-commissioner
/CHRE,/government/organisations/council-for-healthcare-regulatory-excellence
/chre,/government/organisations/council-for-healthcare-regulatory-excellence
/CICA,/government/organisations/criminal-injuries-compensation-authority
/cica,/government/organisations/criminal-injuries-compensation-authority
/civil-procedure,/government/organisations/civil-procedure-rules-committee
/CMA,/government/organisations/competition-and-markets-authority
/cma,/government/organisations/competition-and-markets-authority
/coal,/government/organisations/the-coal-authority
/commonwealth-scholarships,/government/organisations/commonwealth-scholarship-commission-in-the-uk
/communities,/government/organisations/department-for-communities-and-local-government
/CORWM,/government/organisations/committee-on-radioactive-waste-management
/corwm,/government/organisations/committee-on-radioactive-waste-management
/criminal-procedure,/government/organisations/criminal-procedure-rule-committee
/CS,/government/organisations/competition-service
/cs,/government/organisations/competition-service
/CST,/government/organisations/council-for-science-and-technology
/cst,/government/organisations/council-for-science-and-technology
/DBS,/government/organisations/disclosure-and-barring-service
/dbs,/government/organisations/disclosure-and-barring-service
/DCLG,/government/organisations/department-for-communities-and-local-government
/dclg,/government/organisations/department-for-communities-and-local-government
/DCMS,/government/organisations/department-for-culture-media-sport
/dcms,/government/organisations/department-for-culture-media-sport
/DECC,/government/organisations/department-of-energy-climate-change
/decc,/government/organisations/department-of-energy-climate-change
/DEFRA,/government/organisations/department-for-environment-food-rural-affairs
/defra,/government/organisations/department-for-environment-food-rural-affairs
/DES,/government/organisations/defence-equipment-and-support
/des,/government/organisations/defence-equipment-and-support
/DFE,/government/organisations/department-for-education
/dfe,/government/organisations/department-for-education
/DFID,/government/organisations/department-for-international-development
/dfid,/government/organisations/department-for-international-development
/DFT,/government/organisations/department-for-transport
/dft,/government/organisations/department-for-transport
/DH,/government/organisations/department-of-health
/dh,/government/organisations/department-of-health
/DIO,/government/organisations/defence-infrastructure-organisation
/dio,/government/organisations/defence-infrastructure-organisation
/disclosure-barring-service,/government/organisations/disclosure-and-barring-service
/DMO,/government/organisations/uk-debt-management-office
/dmo,/government/organisations/uk-debt-management-office
/DNSC,/government/organisations/defence-nuclear-safety-committee
/dnsc,/government/organisations/defence-nuclear-safety-committee
/DPM,/government/organisations/deputy-prime-ministers-office
/dpm,/government/organisations/deputy-prime-ministers-office
/DSAC,/government/organisations/defence-scientific-advisory-council
/dsac,/government/organisations/defence-scientific-advisory-council
/DSA,/government/organisations/driving-standards-agency
/dsa,/government/organisations/driving-standards-agency
/DSTL,/government/organisations/defence-science-and-technology-laboratory
/dstl,/government/organisations/defence-science-and-technology-laboratory
/DVLA,/government/organisations/driver-and-vehicle-licensing-agency
/dvla,/government/organisations/driver-and-vehicle-licensing-agency
/DWP,/government/organisations/department-for-work-pensions
/dwp,/government/organisations/department-for-work-pensions
/EFA,/government/organisations/education-funding-agency
/efa,/government/organisations/education-funding-agency
/EGAC,/government/organisations/export-guarantees-advisory-council
/egac,/government/organisations/export-guarantees-advisory-council
/environment-agency,/government/organisations/environment-agency
/equality-2025,/government/organisations/equality-2025
/ERG,/government/organisations/efficiency-and-reform-group
/erg,/government/organisations/efficiency-and-reform-group
/family-procedure,/government/organisations/family-procedure-rule-committee
/FCO,/government/organisations/foreign-commonwealth-office
/fco,/government/organisations/foreign-commonwealth-office
/foreign-compensation-commission,/government/organisations/foreign-compensation-commission
/forensic-science-regulator,/government/organisations/forensic-science-regulator
/FPAG,/government/organisations/the-fuel-poverty-advisory-group
/fpag,/government/organisations/the-fuel-poverty-advisory-group
/GAD,/government/organisations/government-actuarys-department
/gad,/government/organisations/government-actuarys-department
/GCA,/government/organisations/groceries-code-adjudicator
/gca,/government/organisations/groceries-code-adjudicator
/GEO,/government/organisations/government-equalities-office
/geo,/government/organisations/government-equalities-office
/GLA,/government/organisations/gangmasters-licensing-authority
/gla,/government/organisations/gangmasters-licensing-authority
/GPS,/government/organisations/government-procurement-service
/gps,/government/organisations/government-procurement-service
/HCA,/government/organisations/homes-and-communities-agency
/hca,/government/organisations/homes-and-communities-agency
/healthcareuk,/government/organisations/healthcare-uk
/highways,/government/organisations/highways-agency
/hm-courts-tribunals,/government/organisations/hm-courts-and-tribunals-service
/hm-passport-office,/government/organisations/hm-passport-office
/HMPO,/government/organisations/hm-passport-office
/hmpo,/government/organisations/hm-passport-office
/hm-prison-service,/government/organisations/hm-prison-service
/HMRC,/government/organisations/hm-revenue-customs
/hmrc,/government/organisations/hm-revenue-customs
/hm-treasury,/government/organisations/hm-treasury
/home-office,/government/organisations/home-office
/HS2,/government/organisations/high-speed-two-limited
/hs2,/government/organisations/high-speed-two-limited
/IAAP,/government/organisations/independent-agricultural-appeals-panel
/iaap,/government/organisations/independent-agricultural-appeals-panel
/IDAB,/government/organisations/industrial-development-advisory-board
/idab,/government/organisations/industrial-development-advisory-board
/ILF,/government/organisations/independent-living-fund
/ilf,/government/organisations/independent-living-fund
/insolvency-service,/government/organisations/insolvency-service
/IPO,/government/organisations/intellectual-property-office
/ipo,/government/organisations/intellectual-property-office
/IPS,/government/organisations/hm-passport-office
/ips,/government/organisations/hm-passport-office
/ip-tribunal,/government/organisations/insolvency-practitioners-tribunal
/IRC,/government/organisations/insolvency-rules-committee
/irc,/government/organisations/insolvency-rules-committee
/JFC,/government/organisations/joint-forces-command
/jfc,/government/organisations/joint-forces-command
/judicial-ombudsman,/government/organisations/judicial-appointments-and-conduct-ombudsman
/land-registry,/government/organisations/land-registry
/law-commission,/government/organisations/law-commission
/leader-commons,/government/organisations/the-office-of-the-leader-of-the-house-of-commons
/leader-lords,/government/organisations/office-of-the-leader-of-the-house-of-lords
/LPC,/government/organisations/low-pay-commission
/lpc,/government/organisations/low-pay-commission
/LRRC,/government/organisations/land-registration-rule-committee
/lrrc,/government/organisations/land-registration-rule-committee
/MAC,/government/organisations/migration-advisory-committee
/mac,/government/organisations/migration-advisory-committee
/MAIB,/government/organisations/marine-accident-investigation-branch
/maib,/government/organisations/marine-accident-investigation-branch
/MCA,/government/organisations/maritime-and-coastguard-agency
/mca,/government/organisations/maritime-and-coastguard-agency
/MHRA,/government/organisations/medicines-and-healthcare-products-regulatory-agency
/mhra,/government/organisations/medicines-and-healthcare-products-regulatory-agency
/MMO,/government/organisations/marine-management-organisation
/mmo,/government/organisations/marine-management-organisation
/MOD,/government/organisations/ministry-of-defence
/MoD,/government/organisations/ministry-of-defence
/mod,/government/organisations/ministry-of-defence
/MOJ,/government/organisations/ministry-of-justice
/MoJ,/government/organisations/ministry-of-justice
/moj,/government/organisations/ministry-of-justice
/monitor,/government/organisations/monitor
/national-dna-database-ethics-group,/government/organisations/national-dna-database-ethics-group
/national-fraud-authority,/government/organisations/national-fraud-authority
/natural-england,/government/organisations/natural-england
/NCTL,/government/organisations/national-college-for-teaching-and-leadership
/nctl,/government/organisations/national-college-for-teaching-and-leadership
/ndnad-ethics,/government/organisations/national-dna-database-ethics-group
/NEAB,/government/organisations/national-employer-advisory-board
/neab,/government/organisations/national-employer-advisory-board
/NFA,/government/organisations/national-fraud-authority
/nfa,/government/organisations/national-fraud-authority
/NIO,/government/organisations/northern-ireland-office
/nio,/government/organisations/northern-ireland-office
/NLFAB,/government/organisations/nuclear-liabilities-financing-assurance-board
/nlfab,/government/organisations/nuclear-liabilities-financing-assurance-board
/NMO,/government/organisations/national-measurement-office
/nmo,/government/organisations/national-measurement-office
/NOMS,/government/organisations/national-offender-management-service
/noms,/government/organisations/national-offender-management-service
/NRAC,/government/organisations/nuclear-research-advisory-council
/nrac,/government/organisations/nuclear-research-advisory-council
/nsandi,/government/organisations/national-security
/number10,/government/organisations/prime-ministers-office-10-downing-street
/OAG,/government/organisations/office-of-the-advocate-general-for-scotland
/oag,/government/organisations/office-of-the-advocate-general-for-scotland
/ODA,/government/organisations/olympic-delivery-authority
/oda,/government/organisations/olympic-delivery-authority
/office-for-life-sciences,/government/organisations/office-for-life-sciences
/OFQUAL,/government/organisations/office-of-qualifications-and-examinations-regulation
/ofqual,/government/organisations/office-of-qualifications-and-examinations-regulation
/OFSTED,/government/organisations/ofsted
/ofsted,/government/organisations/ofsted
/OFT,/government/organisations/office-of-fair-trading
/oft,/government/organisations/office-of-fair-trading
/OFWAT,/government/organisations/the-water-services-regulation-authority
/ofwat,/government/organisations/the-water-services-regulation-authority
/OISC,/government/organisations/office-of-the-immigration-services-commissioner
/oisc,/government/organisations/office-of-the-immigration-services-commissioner
/OLD,/government/organisations/olympic-lottery-distributor
/old,/government/organisations/olympic-lottery-distributor
/OLEV,/government/organisations/office-for-low-emission-vehicles
/olev,/government/organisations/office-for-low-emission-vehicles
/OLS,/government/organisations/office-for-life-sciences
/ols,/government/organisations/office-for-life-sciences
/OME,/government/organisations/office-of-manpower-economics
/ome,/government/organisations/office-of-manpower-economics
/OPA,/government/organisations/oil-and-pipelines-agency
/opa,/government/organisations/oil-and-pipelines-agency
/OPC,/government/organisations/office-of-the-parliamentary-counsel
/opc,/government/organisations/office-of-the-parliamentary-counsel
/OPG,/government/organisations/office-of-the-public-guardian
/opg,/government/organisations/office-of-the-public-guardian
/OSPT,/government/organisations/official-solicitor-and-public-trustee
/ospt,/government/organisations/official-solicitor-and-public-trustee
/OTS,/government/organisations/office-of-tax-simplification
/ots,/government/organisations/office-of-tax-simplification
/PABEW,/government/organisations/police-advisory-board-for-england-and-wales
/pabew,/government/organisations/police-advisory-board-for-england-and-wales
/parole-board,/government/organisations/parole-board
/PHE,/government/organisations/public-health-england
/phe,/government/organisations/public-health-england
/PINS,/government/organisations/planning-inspectorate
/pins,/government/organisations/planning-inspectorate
/planning-inspectorate,/government/organisations/planning-inspectorate
/police-appeals,/government/organisations/police-discipline-appeals-tribunal
/police-arbitration,/government/organisations/police-arbitration-tribunal
/PSRB,/government/organisations/prison-services-pay-review-body
/psrb,/government/organisations/prison-services-pay-review-body
/public-standards,/government/organisations/the-committee-on-standards-in-public-life
/PVST,/government/organisations/plant-varieties-and-seeds-tribunal
/pvst,/government/organisations/plant-varieties-and-seeds-tribunal
/PWLB,/government/organisations/public-works-loan-board
/pwlb,/government/organisations/public-works-loan-board
/RAIB,/government/organisations/rail-accidents-investigation-branch
/raib,/government/organisations/rail-accidents-investigation-branch
/RBGC,/government/organisations/review-board-for-government-contracts
/rbgc,/government/organisations/review-board-for-government-contracts
/RMAC,/government/organisations/royal-mint-advisory-committee
/rmac,/government/organisations/royal-mint-advisory-committee
/royal-mint,/government/organisations/royal-mint
/RPA,/government/organisations/rural-payments-agency
/rpa,/government/organisations/rural-payments-agency
/SAC,/government/organisations/science-advisory-council
/sac,/government/organisations/science-advisory-council
/SASCMILL,/government/organisations/science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons
/sascmill,/government/organisations/science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons
/SCE,/government/organisations/service-children-s-education
/sce,/government/organisations/service-children-s-education
/scotland-office,/government/organisations/scotland-office
/SFA,/government/organisations/skills-funding-agency
/sfa,/government/organisations/skills-funding-agency
/SMCPC,/government/organisations/social-mobility-and-child-poverty-commission
/smcpc,/government/organisations/social-mobility-and-child-poverty-commission
/SPVA,/government/organisations/service-personnel-and-veterans-agency
/spva,/government/organisations/service-personnel-and-veterans-agency
/SSRB,/government/organisations/review-body-on-senior-salaries
/ssrb,/government/organisations/review-body-on-senior-salaries
/STA,/government/organisations/standards-and-testing-agency
/sta,/government/organisations/standards-and-testing-agency
/STRB,/government/organisations/school-teachers-review-body
/strb,/government/organisations/school-teachers-review-body
/surveillance-camera-commissioner,/government/organisations/surveillance-camera-commissioner
/SVAP,/government/organisations/security-vetting-appeals-panel
/svap,/government/organisations/security-vetting-appeals-panel
/TAB,/government/organisations/technical-advisory-board
/tab,/government/organisations/technical-advisory-board
/teaching-agency,/government/organisations/national-college-for-teaching-and-leadership
/TPC,/government/organisations/tribunal-procedure-committee
/tpc,/government/organisations/tribunal-procedure-committee
/traffic-commissioners,/government/organisations/traffic-commissioners
/transport,/government/organisations/department-for-transport
/treasure-valuation,/government/organisations/treasure-valuation-committee
/treasury,/government/organisations/hm-treasury
/trust-ports,/government/organisations/trust-ports
/TSB,/government/organisations/technology-strategy-board
/tsb,/government/organisations/technology-strategy-board
/TSOL,/government/organisations/treasury-solicitor-s-department
/tsol,/government/organisations/treasury-solicitor-s-department
/UKAEA,/government/organisations/uk-atomic-energy-authority
/ukaea,/government/organisations/uk-atomic-energy-authority
/UKBA,/government/organisations/uk-border-agency
/ukba,/government/organisations/uk-border-agency
/UKCES,/government/organisations/uk-commission-for-employment-and-skills
/ukces,/government/organisations/uk-commission-for-employment-and-skills
/uk-export-finance,/government/organisations/uk-export-finance
/UKFI,/government/organisations/uk-financial-investments-limited
/ukfi,/government/organisations/uk-financial-investments-limited
/UKHO,/government/organisations/uk-hydrographic-office
/ukho,/government/organisations/uk-hydrographic-office
/uk-space,/government/organisations/uk-space-agency
/UKTI,/government/organisations/uk-trade-investment
/ukti,/government/organisations/uk-trade-investment
/uk-visas-immigration,/government/organisations/uk-visas-and-immigration
/VAPC,/government/organisations/veterans-advisory-and-pensions-committees-x13
/vapc,/government/organisations/veterans-advisory-and-pensions-committees-x13
/VCA,/government/organisations/vehicle-certification-agency
/vca,/government/organisations/vehicle-certification-agency
/victims-commissioner,/government/organisations/victims-commissioner
/VMD,/government/organisations/veterinary-medicines-directorate
/vmd,/government/organisations/veterinary-medicines-directorate
/VOA,/government/organisations/valuation-office-agency
/voa,/government/organisations/valuation-office-agency
/VOSA,/government/organisations/vehicle-and-operator-services-agency
/vosa,/government/organisations/vehicle-and-operator-services-agency
/VPC,/government/organisations/veterinary-products-committee
/vpc,/government/organisations/veterinary-products-committee
/wales-office,/government/organisations/wales-office
