"What we're doing",Policy areas,Lead org,Other orgs,Ministers,URL for info on current policies
"Building strategic relationships at the highest levels with the most significant inward investors, the UK's top exporters and major overseas buyers",Trade and investment,UKTI,FCO; BIS,Lord Green; Vince Cable; William Hague,http://bis.gov.uk/policy
Phasing out the Default Retirement Age,Employment; Pensions and ageing society,BIS,"ACAS, DWP",Vince Cable; Edward Davey; Iain Duncan Smith; Steve Webb,http://bis.gov.uk/policy
Developing the Every Business Commits campaign,Big society; Business and enterprise,BIS,Cabinet Office,VInce Cable; Mark Prisk,http://bis.gov.uk/policy
Creating a Public Data Corporation,Business and enterprise; Economic development and growth,BIS,,VInce Cable; Mark Prisk,http://bis.gov.uk/policy
Simplifying the planning system ,Planning and building,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Protecting the environment through planning,Planning and building,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
"Providing safe, sustainable and accessible buildings with Building Regulations",Planning and building,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Reducing carbon emissions from buildings to tackle climate change,Planning and building,DCLG,DECC,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Turning troubled families around,Community and society,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Building the Big Society,Community and society,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Regenerating deprived neighbourhoods,Community and society,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Creating local economic growth,Economic development and growth; Local government,DCLG,BIS,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Driving economic growth and regeneration,Economic development and growth,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Placing regeneration at the heart of economic growth,Economic development and growth,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Building a sustainable Olympic legacy,Olympics; Economic development and growth,DCLG,DCMS,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Maximising potential to ensure growth in the Thames Gateway,Economic development and growth,DCLG,,Eric Pickles,http://www.communities.gov.uk/corporate/about/whatwedo/
Ensuring the Olympic and Paralympic Games deliver value for money,Olympics,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Improving governance within Whitehall to ensure effective delivery of the Olympics,Olympics,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Ensuring Olympic venues and infrastructure are delivered on time and to budget,Olympics,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Ensuring essential public services are provided for the Olympic Games,Olympics; Transport,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Agreeing and implementing a compelling legacy plan for the Games,Olympics,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Launching a new School Games competition,Olympics; Schools; Sport and leisure,DCMS,DFE,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Using the 2012 Olympics to establish a lasting community sporting legacy,Olympics; Sport and leisure; Community and society,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Supporting sports facilities and clubs,Sport and leisure; Community and society,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Reforming the arm's length bodies in the sport sector,Sport and leisure,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Enabling the tourism industry to deliver economic growth,"Economic development and growth; Arts, media and culture; Sports and leisure",DCMS,,Jeremy Hunt; John Penrose,http://www.culture.gov.uk/what_we_do/default.aspx
Bidding for major sporting events,Sport and leisure,DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Changing the media regulatory regime ,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Ensuring the BBC becomes more accountable and offers better value for money,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Ensuring the switchover of TV transmitters from analogue to digital across the UK,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Encouraging a consumer-led transition to digital radio,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Releasing spectrum from public sector use to allow access for private sector,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Promoting the competitiveness of digital content industries,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
 Introducing incentives to increase charitable giving,"Big society; Community and society; Arts, media and culture",DCMS,,Jeremy Hunt,http://www.culture.gov.uk/what_we_do/default.aspx
"Reforming the National Lottery so that more money goes into sport, arts and heritage","Arts, media and culture; Sports and leisure",DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Reforming the Big Lottery Fund ,"Arts, media and culture; Sports and leisure",DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Stopping wasteful spending by National Lottery distributors,"Arts, media and culture; Sports and leisure",DCMS,,Jeremy Hunt; Hugh Robertson,http://www.culture.gov.uk/what_we_do/default.aspx
Scrapping rules on local cross-media ownership ,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Enabling the creation of new local TV stations,"Arts, media and culture; Community and society",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Addressing the commercialisation and sexualisation of childhood in the media,"Arts, media and culture; Children and young people",DCMS,DFE,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Supporting public libraries into the next generation: the Future Libraries Programme,"Arts, media and culture; Sports and leisure; Community and society; Local government",DCMS,DCLG,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Reforming the arm's length bodies in the cultural sector,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Creating a level playing field for new providers in the cultural sector,"Arts, media and culture",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Opening up access to infrastructure to facilitate super-fast broadband,"Arts, media and culture; Economic development and growth",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
Facilitating the introduction of super-fast broadband in remote areas ,"Arts, media and culture; Rural and countyside; Economic development and growth",DCMS,,Jeremy Hunt; Ed Vaizey,http://www.culture.gov.uk/what_we_do/default.aspx
 Increasing the number of Academies,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Introducing new Free Schools,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Introducing new University Technical Colleges,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Introducing a new pupil premium for disadvantaged pupils,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Reforming funding systems for schools revenue and capital funding,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Promoting the teaching of systematic synthetic phonics in schools,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Reforming the National Curriculum for 5-16 year olds,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Reforming and free up the qualifications system,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Reducing regulatory and other burdens on schools and colleges,Schools; Further education and skills,DFE,,Michael Gove; John Hayes,http://education.gov.uk/
Supporting teachers in securing good behaviour in schools,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
"Reforming the inspection of schools, children's services and Early Years providers",Schools; Children and young people,DFE,Ofsted,Michael Gove; Lord Hill; Nick Gibb; Sarah Teather,http://education.gov.uk/
Attracting the best entrants into the school workforce and developing them continuously,Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
"Reforming teachers standards, pay and conditions",Schools,DFE,,Michael Gove; Lord Hill; Nick Gibb,http://education.gov.uk/
Recruiting and developing social workers who work with children and families,Children and young people; Social care,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Improving the quality of the Early Years workforce,Children and young people,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Retaining a national network of Sure Start Children's Centres,Children and young people,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Ensuring access to sufficient and high quality Early Years provision,Children and young people,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Reforming provision for children with special educational needs,Children and young people; Social care,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Improving arrangements for protecting children from harm,Children and young people; Social care,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Improving the quality and cost-effectiveness of the child care system,Children and young people; Social care,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Improving opportunities and support for young people,Children and young people; Community and society,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Taking steps to end child poverty and improve life chances of the poorest,Children and young people; Welfare,DFE,DWP,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Increasing support for families experiencing difficulties,Children and young people,DFE,,Michael Gove; Sarah Teather; Tim Loughton,http://education.gov.uk/
Driving sustainable food procurement by the public sector,Food and farming,Defra,,Caroline Spelman; Jim Paice,http://www.defra.gov.uk/
Promoting increased domestic food production,Food and farming,Defra,,Caroline Spelman; Jim Paice,http://www.defra.gov.uk/
Ensuring consumers can be confident about where their food comes from,Food and farming,Defra,,Caroline Spelman; Jim Paice,http://www.defra.gov.uk/
Preparing farming for post-2013 Common Agricultural Policy (CAP) reforms,Food and farming,Defra,,Caroline Spelman; Jim Paice,http://www.defra.gov.uk/
Reforming the animal welfare inspection regime,Food and farming,Defra,,Caroline Spelman; Jim Paice,http://www.defra.gov.uk/
Promoting environmentally-sustainable domestic food production,Food and farming,Defra,,Caroline Spelman; Jim Paice,http://www.defra.gov.uk/
"Enhancing the countryside, habitats and the urban environment",Environment and climate change; Rural and countryside,Defra,DCLG; DFT; BIS; MOD,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
Helping communities and wildlife adapt to climate change,Environment and climate change; Wildlife and pets,Defra,DECC,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
Spearheading international progress on conservation and endangered species,Environment and climate change; Wildlife and pets,Defra,,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
"Driving a 'zero waste' agenda",Environment and climate change,Defra,DECC,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
Reforming the water industry ,Environment and climate change; Rural and countryside,Defra,BIS; DCLG,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
Driving sustainable public sector practice across government,Environment and climate change,Defra,DECC,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
"Promoting a low-carbon, eco-friendly and climate resilient economy",Environment and climate change,Defra,,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
Supporting sustainable economic growth in rural areas,Rural and countryside; Economic development and growth,Defra,DCLG,Caroline Spelman; Richard Benyon,http://www.defra.gov.uk/
Reviewing and consulting on high speed rail,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Legislating for the London-Birmingham phase of High Speed 2,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Preparing the Birmingham-Manchester-Leeds rail routes and consulting on proposals,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Completing sale of High Speed 1 - the Channel Tunnel rail link asset,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Identifying plans for securing a more sustainable railway,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
"Changing rail franchise terms to incentivise better services, stations, rails and stock",Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Supporting further capacity improvements and electrification of the rail network,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
 Simplifying transport funding and decision making,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Enhancing local public transport,Transport; Local government,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Tackling the causes of local traffic congestion,Transport; Local government,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Contributing to the delivery of a successful Olympics,Transport; Olympics,DFT,DCMS,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Promoting electric and other ultra-low emission vehicles ,Transport; Environment and climate change,DFT,BIS; DECC,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Creating a national electric car recharging network,Transport; Environment and climate change,DFT,BIS; DECC,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Improving traffic flow and removing bottlenecks,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Introducing Heavy Goods Vehicle (HGV) road user charging,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Reviewing the operation and structure of the Highways Agency,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Switching to more effective ways to make our roads safer,Transport; Social equality,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Reforming the Blue Badge Scheme for people with severe mobility problems,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Delivering further measures to reduce CO2 from road transport,Transport; Environment and climate change,DFT,DECC,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Developing a sustainable framework for UK aviation ,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Considering how to make airports operate better,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Reforming civil aviation regulation to improve the passenger experience,Transport,DFT,,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Ensuring aviation contributes to delivering low carbon goals,Transport; Environment and climate change,DFT,BIS; DECC,Justine Greening; Theresa Villiers,http://www.dft.gov.uk/topics/
Reforming the welfare system,Welfare,DWP,,Iain Duncan Smith; Chris Grayling; Lord Freud,http://www.dwp.gov.uk/policy/
Reforming pensions,Welfare; Pensions and ageing society,DWP,,Iain Duncan Smith; Steve Webb,http://www.dwp.gov.uk/policy/
Improving equality for disabled people,Welfare; Social equality; Employment,DWP,,Iain Duncan Smith; Maria Miller,http://www.dwp.gov.uk/policy/
Reforming health and safety,Employment,DWP,BIS; DH,Iain Duncan Smith; Chris Grayling; Lord Freud,http://www.dwp.gov.uk/policy/
Tackling child poverty,Children and young people; Welfare,DWP,,Iain Duncan Smith; Lord Freud,http://www.dwp.gov.uk/policy/
Reforming child maintenance,Children and young people; Welfare,DWP,,Iain Duncan Smith; Lord Freud,http://www.dwp.gov.uk/policy/
Responding to an ageing society,Welfare; Pensions and ageing society,DWP,,Iain Duncan Smith; Steve Webb,http://www.dwp.gov.uk/policy/
Driving greater energy efficiency in households and businesses: the Green Deal,Environment and climate change; Energy,DECC,,Chris Huhne; Charles Hendry; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Rolling out smart electricity and gas meters across Britain,Environment and climate change; Energy,DECC,,Chris Huhne; Charles Hendry; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Supporting vulnerable households in meeting the cost of energy bills,Energy; Welfare; Pensions and ageing society,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Driving greater energy efficiency in the public sector,Environment and climate change; Energy,DECC,,Chris Huhne; Charles Hendry; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
 Reforming the electricity market to ensure competition and security of supplies,Energy,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Ensuring at least 15% of UK energy comes from renewable sources by 2020,Environment and climate change; Energy,DECC,,Chris Huhne; Charles Hendry; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Facilitating the world's first new nuclear development without public subsidy by 2018,Energy,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Demonstrating the use of clean fossil fuels through carbon capture and storage,Environment and climate change; Energy,DECC,,Chris Huhne; Charles Hendry; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Setting in place a framework to establish a smart electricity grid,Energy,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Reforming the electricity grid to ensure capacity and access to connect new forms of energy,Energy,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Ensuring that international action supports the UK's low carbon development and energy security objectives,Environment and climate change; Energy,DECC,"FCO, DFID",Chris Huhne; Charles Hendry; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Meeting five-yearly statutory carbon budgets,Environment and climate change; Energy,DECC,,Chris Huhne; Charles Hendry; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Encouraging high climate change ambitions at EU level,Environment and climate change; Europe,DECC,,Chris Huhne; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Helping developing countries take action on climate change by providing finance and technological support,Environment and climate change; International aid and development,DECC,,Chris Huhne; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Reducing carbon emissions through international negotiations at the UN Framework Convention on Climate Change,Environment and climate change,DECC,,Chris Huhne; Gregory Barker; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Sponsoring the Nuclear Decommissioning Authority (NDA) to deliver its mission cost-effectively,Energy,DECC,BIS,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Implementing solutions for the long-term management of higher activity radioactive waste,Energy,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Improving the security of civil nuclear sites and materials,Energy,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Reviewing environmental regulation of oil and gas exploration ,Energy,DECC,,Chris Huhne; Charles Hendry; Lord Marland,http://www.decc.gov.uk/en/content/cms/legislation/legislation.aspx
Extending patient choice of treatment and provider,NHS,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Developing urgent care services,Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Giving people far more information and data on all aspects of healthcare,NHS; Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
Introducing personal health budgets for people with chronic or long term conditions,NHS; Social care,DH,,Andrew Lansley; Simon Burns; Paul Burstow; Lord Howe,http://www.dh.gov.uk/health/policy/
