"What we're doing",Policy areas,Lead org,Other orgs,Ministers,URL for info on current policies
Driving economies in public sector commodity procurement,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Supporting new forms of provision and outsourcing in the public sector,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Cutting the costs of existing government contracts,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Improving long term supplier management,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Changing the process for managing large projects,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Improving energy and resource efficiency by government,Government efficiency and transparency,Cabinet Office,DECC,Francis Maude,http://www.cabinetoffice.gov.uk/
Simplifying and taking the costs out of services,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Improving the management of the public sector estate,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Reviewing the government advertising model,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Integrating ICT infrastructure across central government,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Improving value for money in government ICT,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Creating a new government procurement process,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Identifying ICT projects and programmes to terminate,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Improving the rules for government ICT projects and services,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Creating a new government channel strategy,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Enhancing the operational leadership of government departments,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Improving the public appointment process,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Reducing the number and cost of public bodies,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Establishing review and transparency procedures for public bodies,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Reforming civil service performance management and bonuses,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
"Introducing a more flexible, modern employee offer in the civil service",Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Lowering the cost of HR in the civil service and improving training,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Taking steps to tackle fraud and error across the public sector,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Achieving efficiencies in government construction procurement,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Reviewing regulations to give people and businesses greater freedom,Government efficiency and transparency; Regulation reform,Cabinet Office,BIS,Francis Maude; Oliver Letwin,http://www.cabinetoffice.gov.uk/
Enforcing transparency in central government and public bodies,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Developing a transparent reporting regime for public service providers,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
"Creating a new 'right to data'",Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Ensuring that transparency is applied at local government level,Government efficiency and transparency; Big Society,Cabinet Office,DCLG,Francis Maude,http://www.cabinetoffice.gov.uk/
Using data and behavioural insights to achieve policy objectives,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
Driving the release of high value government datasets,Government efficiency and transparency,Cabinet Office,,Francis Maude,http://www.cabinetoffice.gov.uk/
 Establishing fixed-term Parliaments,Constitutional reform,Cabinet Office,,Nick Clegg; Mark Harper,http://www.cabinetoffice.gov.uk/
Reforming the House of Lords,Constitutional reform,Cabinet Office,,Nick Clegg; Mark Harper,http://www.cabinetoffice.gov.uk/
Introducing a power of recall for MPs,Constitutional reform,Cabinet Office,,Nick Clegg; Mark Harper,http://www.cabinetoffice.gov.uk/
Supporting people with disabilities to become parliamentarians,Constitutional reform,Cabinet Office,,Mark Harper,http://www.cabinetoffice.gov.uk/
Reforming the House of Commons,Constitutional reform,Cabinet Office,,Nick Clegg,http://www.cabinetoffice.gov.uk/
Reforming the legislative processes,Constitutional reform,Cabinet Office,,Mark Harper,http://www.cabinetoffice.gov.uk/
Making wider Parliamentary reforms,Constitutional reform,Cabinet Office,,Mark Harper,http://www.cabinetoffice.gov.uk/
Reducing the number of MPs,Constitutional reform,Cabinet Office,,Nick Clegg; Mark Harper,http://www.cabinetoffice.gov.uk/
Speeding up implementation of Individual Electoral Registration,Constitutional reform,Cabinet Office,,Mark Harper,http://www.cabinetoffice.gov.uk/
Improving parliamentary transparency,Constitutional reform; Government efficiency and transparency,Cabinet Office,,Mark Harper,http://www.cabinetoffice.gov.uk/
Establishing a commission to consider the 'West Lothian question',Constitutional reform,Cabinet Office,,Mark Harper,http://www.cabinetoffice.gov.uk/
Strengthening relationships with the devolved UK administrations,Constitutional reform,Cabinet Office,,Mark Harper,http://www.cabinetoffice.gov.uk/
Ensuring localism reforms are implemented at local government level,Constitutional reform; Local government; Big society,Cabinet Office,DCLG,Mark Harper,http://www.cabinetoffice.gov.uk/
Restoring rights in the face of encroaching state power,"Constitutional reform; Freedom, rights and citizenship; community and society",Cabinet Office,MOJ; DCLG,Francis Maude; Nick Clegg; Nick Hurd,http://www.cabinetoffice.gov.uk/
 Empowering communities by training organisers and supporting groups,Big society,Cabinet Office,,Nick Hurd,http://www.cabinetoffice.gov.uk/
Supporting non-governmental bodies to compete for provision of public services,Big society,Cabinet Office,,Nick Hurd,http://www.cabinetoffice.gov.uk/
Promoting social action and creating a National Citizen Service,Big society,Cabinet Office,,Nick Hurd,http://www.cabinetoffice.gov.uk/
Promoting social mobility,Social equality; Community and society,Cabinet Office,,Nick Hurd,http://www.cabinetoffice.gov.uk/
Establishing a Green Investment Bank to support clean energy and green technologies,Economic development and growth; financial services; Environment and climate change; Energy,BIS,DECC,VInce Cable;Baroness Wilcox; Chris Huhne; Charles Hendry,http://bis.gov.uk/policy
Ensuring an injection of private capital into Royal Mail,Government efficiency and transparency; Business and enterprise,BIS,,VInce Cable; Edward Davey,http://bis.gov.uk/policy
Sustaining the Post Office and its nationwide network of post offices,Rural and countryside; Government efficiency and transparency,BIS,,VInce Cable; Edward Davey,http://bis.gov.uk/policy
Developing a strategy to deliver on key trade priorities,Trade and investment,BIS,FCO,Vince Cable; Lord Green,http://bis.gov.uk/policy
Improving the functioning of the EU's single market and trade agreements,Trade and investment; Europe,BIS,FCO; DFID; UKTI,Vince Cable; Lord Green,http://bis.gov.uk/policy
Achieving substantive progress on the Doha Development Agenda,Trade and investment,BIS,FCO; UKTI,Vince Cable; Lord Green,http://bis.gov.uk/policy
Implementing the actions in the Plan for Growth ,Trade and investment,BIS,FCO; UKTI,Vince Cable; Lord Green,http://bis.gov.uk/policy
Targeting services at innovative and high growth SMEs to encourage more companies to export and help existing exporters penetrate more high growth and emerging markets,Trade and investment,UKTI,FCO; BIS,Lord Green; Vince Cable; William Hague,http://bis.gov.uk/policy
Winning high value opportunities in overseas markets for UK businesses of all sizes,Trade and investment,UKTI,FCO; BIS,Lord Green; Vince Cable; William Hague,http://bis.gov.uk/policy
Delivering a pipeline of high quality inward investment,Trade and investment,UKTI,FCO; BIS,Lord Green; Vince Cable; William Hague,http://bis.gov.uk/policy
