content_id,publishing_app,title,url
ce2a5f2b-9f16-40c9-b807-d086e582c048,whitehall,HMRC monthly performance update: June 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-june-2019/hmrc-monthly-performance-update-june-2019
cdb6c5a9-3eb3-461a-98fe-2ba0263be7e9,whitehall,NDA Annual Report and Accounts 2018 to 2019,https://www.gov.uk/government/publications/nuclear-decommissioning-authority-annual-report-and-accounts-2018-to-2019/nda-annual-report-and-accounts-2018-to-2019
e7a7e33c-90c0-4e50-bab4-6a3be3b6f3d9,whitehall,Performance report,https://www.gov.uk/government/publications/hm-land-registry-annual-report-and-accounts-2018-to-2019/performance-report
adc04622-551e-4f72-b891-cdb500552c1d,whitehall,HMRC monthly performance update: March 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-march-2019/hmrc-monthly-performance-update-march-2019
efd2df9c-cad4-4c81-ab7e-37e7b9c2796f,whitehall,HMRC monthly performance update: April 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-april-2019/hmrc-monthly-performance-update-april-2019
54021ed2-734e-4d64-be2e-636aaa66a1ed,whitehall,HMRC monthly performance update: May 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-may-2019/hmrc-monthly-performance-update-may-2019
51cf2daa-2361-4749-bf72-7dd7e35295af,whitehall,HMRC monthly performance update: August 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-august-2019/hmrc-monthly-performance-update-august-2019
9e1e1256-8249-4cfd-9dc6-a45f0cec0cd0,whitehall,HMRC monthly performance update: July 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-july-2019/hmrc-monthly-performance-update-july-2019
75c07975-c5cf-4ee8-a0e4-d24de04ef4a1,whitehall,BEIS: Civil Service people survey 2019,https://www.gov.uk/government/publications/beis-civil-service-people-survey-2019/beis-civil-service-people-survey-2019
aefacda2-39c2-4778-8c15-4ccc0a7c1b02,whitehall,HM Land Registry people survey 2019,https://www.gov.uk/government/publications/hm-land-registry-people-survey-2019/hm-land-registry-people-survey-2019
09b1eaf7-fe5d-4f08-8e4a-3ea7fc75c8b2,whitehall,HMRC monthly performance update: September 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-september-2019/hmrc-monthly-performance-update-september-2019
1506dcf3-e076-42b1-9020-ea2a81cacb5b,whitehall,HMRC monthly performance update: November 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-november-2019/hmrc-monthly-performance-update-november-2019
ba47cb4b-7f17-44cb-baa3-b1f259c1bd2a,whitehall,HMRC monthly performance update: October 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-october-2019/hmrc-monthly-performance-update-october-2019
41aea86f-17be-4eda-a0f8-289ac23d7ae1,whitehall,Corporate Brochure,https://www.gov.uk/government/publications/corporate-brochure/corporate-brochure
0650d6a0-484e-4c54-abce-aaa2c068932f,whitehall,Crynodeb o Fynegai Prisiau Tai y DU: Ebrill 2020,https://www.gov.uk/government/publications/uk-house-price-index-summary-april-2020/crynodeb-o-fynegai-prisiau-tai-y-du-ebrill-2020
71c85c4a-b64a-4825-a447-b67173820caf,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Ebrill 2020,https://www.gov.uk/government/publications/uk-house-price-index-wales-april-2020/mynegai-prisiau-tai-y-du-adroddiad-cymru-ebrill-2020
7798c9d4-ff8f-4935-9367-d4620cb4303f,whitehall,HM Land Registry: gender pay gap report 2017,https://www.gov.uk/government/publications/hm-land-registry-gender-pay-gap-report-and-data-2017/hm-land-registry-gender-pay-gap-report-2017
69b52455-75df-42a6-9103-0219f43eb0bb,whitehall,HMRC monthly performance update: February 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-february-2020/hmrc-monthly-performance-update-february-2020
06011423-6be0-49b5-bb2c-ec71a0cae3cf,whitehall,HMRC monthly performance update: December 2019,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-december-2019/hmrc-monthly-performance-update-december-2019
72f89970-9c08-411e-91a2-f61a7ea8513c,whitehall,BPDTS Ltd business plan 2020 to 2021,https://www.gov.uk/government/publications/bpdts-ltd-business-plan-2020-to-2021/bpdts-ltd-business-plan-2020-to-2021
d655a279-6d29-4657-933d-e9c2537f9dba,whitehall,HMRC monthly performance update: January 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-january-2020/hmrc-monthly-performance-update-january-2020
b8d9c576-f35e-4d85-bdae-7fe5cba0748c,whitehall,Department for Work and Pensions Civil Service people survey 2019,https://www.gov.uk/government/publications/department-for-work-and-pensions-civil-service-people-survey-2019/department-for-work-and-pensions-civil-service-people-survey-2019
1215bb20-bca2-4c06-935c-d9b73a312eea,whitehall,BPDTS Ltd: gender pay gap report and data 2019,https://www.gov.uk/government/publications/bpdts-ltd-gender-pay-gap-report-and-data-2019/bpdts-ltd-gender-pay-gap-report-and-data-2019
54a1a071-402a-47d2-8f69-6f546a962e7b,whitehall,HM Land Registry: gender pay gap report 2019,https://www.gov.uk/government/publications/hm-land-registry-gender-pay-gap-report-and-data-2019/hm-land-registry-gender-pay-gap-report-2019
77954aca-2487-4b37-bb2c-e66d2cf64227,whitehall,HMRC monthly performance update: April 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-april-2020/hmrc-monthly-performance-update-april-2020
e49aaf26-f6e0-4ee6-8cac-a64db8165949,whitehall,HMRC monthly performance update: May 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-may-2020/hmrc-monthly-performance-update-may-2020
a961dbce-8c3a-4d3b-9183-467c44749fda,whitehall,HMRC monthly performance update: March 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-march-2020/hmrc-monthly-performance-update-march-2020
1d7dea5c-3e8f-40b3-a5cb-93253bd606d5,whitehall,Claimant Service and Experience Survey 2018 to 2019,https://www.gov.uk/government/publications/dwp-claimant-service-and-experience-survey-2018-to-2019--2/claimant-service-and-experience-survey-2018-to-2019
5fef0f1d-fb6b-4bb3-b346-8ea29344495c,whitehall,Summary: Claimant service and experience survey 2018 to 2019 ,https://www.gov.uk/government/publications/dwp-claimant-service-and-experience-survey-2018-to-2019--2/summary-claimant-service-and-experience-survey-2018-to-2019
3c935d92-886a-45fd-9e25-b85ecdf3822d,whitehall,Performance report,https://www.gov.uk/government/publications/hm-land-registry-annual-report-and-accounts-2019-to-2020/performance-report
b0844fad-d760-44c5-90be-92db6d570275,whitehall,NDA Annual Report and Accounts 2019 to 2020,https://www.gov.uk/government/publications/nuclear-decommissioning-authority-annual-report-and-accounts-2019-to-2020/nda-annual-report-and-accounts-2019-to-2020
d7927e56-4c08-489d-a7c1-4a79e8673e33,whitehall,HMRC monthly performance update: June 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-june-2020/hmrc-monthly-performance-update-june-2020
275d7940-2942-4da4-b746-97a85110cdce,whitehall,"Child Benefit Statistics: Annual Release, August 2020 Main Commentary",https://www.gov.uk/government/statistics/child-benefit-statistics-annual-release-august-2020/child-benefit-statistics-annual-release-august-2020-main-commentary
dd9d3ea8-cffd-487b-aca5-3650eb7309b7,whitehall,HMRC monthly performance update: July 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-july-2020/hmrc-monthly-performance-update-july-2020
33068763-9c56-4c07-ae8b-78cc374cdc06,whitehall,Summary of HMRC's annual report and accounts 2019 to 2020,https://www.gov.uk/government/publications/hmrc-annual-report-and-accounts-2019-to-2020/summary-of-hmrcs-annual-report-and-accounts-2019-to-2020
9c179a3d-f838-457b-8083-327ec296c5ae,whitehall,The Coal Authority annual report and accounts 2019 to 2020: Performance report,https://www.gov.uk/government/publications/the-coal-authority-annual-report-and-accounts-2019-to-2020/the-coal-authority-annual-report-and-accounts-2019-to-2020-performance-report
b7a652c2-cc52-4253-b586-94541ed1c687,whitehall,HMRC monthly performance update: August 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-august-2020/hmrc-monthly-performance-update-august-2020
3f811261-dc57-4ad3-a097-5d63a17452e9,whitehall,Adroddiad blynyddol a chyfrifon yr Awdurdod Glo 2019 i 2020: Adroddiad ar berfformiad,https://www.gov.uk/government/publications/the-coal-authority-annual-report-and-accounts-2019-to-2020/4798289
57ed7220-270e-445b-b39c-ad1ccc6a1fef,whitehall,HMRC monthly performance update: September 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-september-2020/hmrc-monthly-performance-update-september-2020
c9df256a-6acd-4c8b-8657-4c95ba9218d9,whitehall,HMRC monthly performance update: October 2020,https://www.gov.uk/government/publications/hmrc-monthly-performance-report-october-2020/hmrc-monthly-performance-update-october-2020
12c6a68d-6c64-4046-9330-7510229a9c6f,whitehall,Energy white paper: Powering our net zero future (accessible HTML version),https://www.gov.uk/government/publications/energy-white-paper-powering-our-net-zero-future/energy-white-paper-powering-our-net-zero-future-accessible-html-version
107441a1-366f-426f-81cd-004503e30dbd,whitehall,Mynegai Prisiau Tai y DU: adroddiad Cymru: Ionawr 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-january-2017/2048289
e223ed49-eb5f-40e5-9796-34ae652ac14f,whitehall,UK House Price Index Wales: June 2017,https://www.gov.uk/government/statistics/uk-house-price-index-wales-june-2017/uk-house-price-index-wales-june-2017
