image_id,article_id
1533,7489
1509,7926
1534,7975
1539,8433
1544,12168
1545,12177
1598,14296
1599,14402
1637,16140
1941,18642
6854,60021
6857,60030
6866,60054
6867,60059
6868,60063
6920,60751
6925,60858
8758,91968
8769,91985
8829,93496
9068,96947
9071,96950
9435,103039
9641,139719
9644,139733
9649,139857
10677,140800
10678,140800
10679,140800
11433,140817
11434,140817
9679,141479
9682,141505
9691,141564
9817,141995
9870,142186
9945,143780
9952,143821
9969,145317
9982,147466
9987,147512
9995,147543
10083,147838
10100,147924
10179,150593
10302,150906
10303,150906
10304,150906
10305,150906
10460,154397
10463,154402
10794,159005
10800,159031
10816,159090
10817,159092
10925,159733
11007,160436
11008,160438
11159,160852
11160,160852
11161,160852
11162,160852
11183,160880
11192,161019
11398,166852
11425,167180
11430,167431
11459,167534
11491,167603
11607,167745
12128,170650
12257,171413
12364,174310
12365,174324
12553,176416
12903,178372
12979,178674
13052,178819
13066,178819
13246,180126
13327,180948
13348,181002
13448,181198
13523,181645
13675,182133
13704,182355
13705,182355
13730,182438
13746,182506
13764,182540
13785,182596
13932,183836
13934,183836
14016,186042
14292,186720
14301,186758
14326,186885
14338,186910
14340,186911
14342,186915
14344,186921
14379,187086
14398,187134
14417,187599
14581,188382
14582,188382
14495,188445
14542,188696
14554,188751
14768,189242
14902,189503
14903,189503
14905,189503
14936,189720
14937,189720
14938,189720
15438,190504
15439,190504
15440,190504
15445,190511
15679,191073
15691,191166
15905,191975
15913,192072
15980,192556
16008,192691
16009,192691
16010,192691
16134,193078
16135,193078
16146,193090
16604,196296
17013,197444
17087,197709
17091,197709
17204,197951
17205,197951
17354,198414
17381,198484
17387,198511
17443,198652
17540,198876
17577,198986
17578,198986
17580,198994
17842,199758
17872,199890
17945,199997
18128,200042
17966,200066
17983,200125
18022,200160
18180,200451
18337,200689
18521,201132
18522,201132
18619,201353
18642,201497
18673,201611
18674,201611
18779,201939
18860,202161
18869,202209
18870,202210
18877,202221
18943,202428
18969,202496
19085,202884
19092,202902
19112,202963
19373,203822
19498,204022
19555,204149
19556,204157
19564,204169
19565,204169
19568,204186
19699,204372
19700,204372
19707,204390
19709,204390
19717,204419
19718,204419
19719,204419
19720,204419
19729,204443
19738,204462
19773,204600
19774,204600
19775,204600
19776,204600
19971,205108
19978,205153
20208,205730
20213,205750
20229,205789
20227,205793
20269,206042
20271,206057
20326,206169
20363,206297
20382,206305
20383,206305
20384,206305
20399,206339
20400,206339
20401,206339
20596,206730
20764,207047
20765,207047
20766,207047
20884,207283
20885,207283
20928,207373
20936,207383
20937,207383
21064,207595
21065,207595
21066,207595
21126,207757
21127,207757
21138,207788
21139,207788
21222,207993
21223,207993
21234,208060
21235,208060
21258,208111
21259,208111
21260,208111
21263,208119
21264,208119
21315,208289
21317,208295
21321,208319
21749,209845
21750,209845
21751,209845
22028,210938
22029,210938
22038,210988
22044,211033
22045,211036
22357,212058
22358,212058
22359,212058
22369,212080
22371,212082
22417,212202
22418,212202
22419,212202
22420,212205
22421,212205
22422,212205
22424,212210
22425,212210
22426,212210
22490,212443
22884,213821
22885,213824
22886,213827
22887,213840
23647,220615
23701,220954
23716,221009
23742,221071
23743,221071
23744,221071
23750,221082
23751,221082
23752,221082
23949,221666
24085,222061
24086,222061
24087,222061
24088,222065
24089,222065
24102,222164
24229,222530
25122,227683
25214,227958
25406,228401
25463,228401
25531,229692
25617,229925
25803,231012
25804,231012
25809,231040
25810,231040
25823,231055
