"policy_id","policy_paper_id","policy_state"
333505,489731,"archived"
389393,489732,"archived"
418802,489733,"archived"
79043,489734,"published"
139389,489735,"published"
139551,489736,"published"
139859,489737,"published"
161608,489738,"published"
174468,489739,"published"
186008,489740,"published"
186019,489741,"published"
207645,489742,"published"
225886,489743,"published"
227465,489744,"published"
228493,489745,"published"
228679,489746,"published"
228783,489747,"published"
234197,489748,"published"
245440,489749,"published"
247953,489750,"published"
249789,489751,"published"
249789,489752,"published"
251370,489753,"published"
256172,489754,"published"
257885,489755,"published"
281488,489756,"published"
282665,489757,"published"
286364,489758,"published"
311674,489759,"published"
319286,489760,"published"
321176,489761,"published"
332409,489762,"published"
332491,489763,"published"
332512,489764,"published"
333553,489765,"published"
334952,489766,"published"
343844,489767,"published"
345894,489768,"published"
346919,489769,"published"
357431,489770,"published"
359556,489771,"published"
360455,489772,"published"
363447,489773,"published"
366837,489774,"published"
366838,489775,"published"
373495,489776,"published"
379509,489777,"published"
388412,489778,"published"
390187,489779,"published"
390320,489780,"published"
392786,489781,"published"
394428,489782,"published"
397886,489783,"published"
398295,489784,"published"
405407,489785,"published"
406572,489786,"published"
406883,489787,"published"
407558,489788,"published"
407792,489789,"published"
409942,489790,"published"
409947,489791,"published"
410025,489792,"published"
412112,489793,"published"
413601,489794,"published"
419914,489795,"published"
429399,489796,"published"
431502,489797,"published"
432731,489798,"published"
433466,489799,"published"
442504,489800,"published"
443205,489801,"published"
444520,489802,"published"
447995,489803,"published"
448041,489804,"published"
450715,489805,"published"
452990,489806,"published"
456401,489807,"published"
457247,489808,"published"
458852,489809,"published"
462030,489810,"published"
462915,489811,"published"
463788,489812,"published"
463926,489813,"published"
464998,489814,"published"
465004,489815,"published"
465695,489816,"published"
467284,489817,"published"
468744,489818,"published"
468781,489819,"published"
469588,489820,"published"
471812,489821,"published"
475292,489822,"published"
476968,489823,"published"
477435,489824,"published"
478338,489825,"published"
478995,489826,"published"
479056,489827,"published"
482044,489828,"published"
482564,489829,"published"
482756,489830,"published"
484818,489831,"published"
484842,489832,"published"
484855,489833,"published"
484863,489834,"published"
484865,489835,"published"
484866,489836,"published"
484870,489837,"published"
484871,489838,"published"
484873,489839,"published"
484875,489840,"published"
484879,489841,"published"
484882,489842,"published"
484883,489843,"published"
484884,489844,"published"
484886,489845,"published"
484887,489846,"published"
484890,489847,"published"
484892,489848,"published"
484893,489849,"published"
484894,489850,"published"
484897,489851,"published"
484900,489852,"published"
484901,489853,"published"
484902,489854,"published"
484903,489855,"published"
484904,489856,"published"
484905,489857,"published"
484906,489858,"published"
484908,489859,"published"
484909,489860,"published"
484911,489861,"published"
484912,489862,"published"
484913,489863,"published"
484916,489864,"published"
484918,489865,"published"
484920,489866,"published"
484921,489867,"published"
484923,489868,"published"
484924,489869,"published"
484925,489870,"published"
484926,489871,"published"
484928,489872,"published"
484931,489873,"published"
484932,489874,"published"
484933,489875,"published"
484935,489876,"published"
484936,489877,"published"
484939,489878,"published"
484940,489879,"published"
484941,489880,"published"
484942,489881,"published"
484943,489882,"published"
484944,489883,"published"
484945,489884,"published"
484946,489885,"published"
484947,489886,"published"
484949,489887,"published"
484950,489888,"published"
484952,489889,"published"
484953,489890,"published"
484955,489891,"published"
484956,489892,"published"
484957,489893,"published"
484958,489894,"published"
484959,489895,"published"
484960,489896,"published"
484961,489897,"published"
484964,489898,"published"
484965,489899,"published"
484966,489900,"published"
484967,489901,"published"
484968,489902,"published"
484969,489903,"published"
484970,489904,"published"
484971,489905,"published"
484972,489906,"published"
484975,489907,"published"
484976,489908,"published"
484977,489909,"published"
484978,489910,"published"
484979,489911,"published"
484980,489912,"published"
484981,489913,"published"
484982,489914,"published"
484983,489915,"published"
484984,489916,"published"
484988,489917,"published"
484989,489918,"published"
484990,489919,"published"
484991,489920,"published"
484992,489921,"published"
484994,489922,"published"
484995,489923,"published"
484996,489924,"published"
484997,489925,"published"
484998,489926,"published"
484999,489927,"published"
485001,489928,"published"
485002,489929,"published"
485004,489930,"published"
485007,489931,"published"
485011,489932,"published"
485013,489933,"published"
485014,489934,"published"
485015,489935,"published"
485017,489936,"published"
485018,489937,"published"
485021,489938,"published"
485023,489939,"published"
485024,489940,"published"
485026,489941,"published"
485032,489942,"published"
485301,489943,"published"
485316,489944,"published"
486017,489945,"published"
486100,489946,"published"
486246,489947,"published"
487430,489948,"published"
487486,489949,"published"
488566,489950,"published"
488654,489951,"published"
488837,489952,"published"
488886,489953,"published"
488898,489954,"published"
488902,489955,"published"
488904,489956,"published"
488907,489957,"published"
488912,489958,"published"
491317,493617,"published"
