attachment_data_id,attachment_content_id,asset_manager_id
864733,47068e58-f3d3-4067-a509-fcc75c70f061,5e417b92e5274a08e9dc7460
864733,47068e58-f3d3-4067-a509-fcc75c70f061,5e417b92e5274a08e745c949
866118,aecd0150-ff08-4c30-bd17-521d87f288d6,5e4a3606e5274a6d2d3f0e47
866118,aecd0150-ff08-4c30-bd17-521d87f288d6,5e4a3606e5274a6d2e0cfe07
866119,87eda8bc-5919-441b-a1fd-58dd4b8c2282,5e4a3642ed915d4ff29d8f52
866119,87eda8bc-5919-441b-a1fd-58dd4b8c2282,5e4a364240f0b677ca249fc9
864738,511c247a-d521-40ca-aeaa-46a9b9a1eee6,5e417c64e5274a08e5344ce2
864738,511c247a-d521-40ca-aeaa-46a9b9a1eee6,5e417c64e5274a08ea866d89
622643,4ad54f05-bdce-4317-a92e-154f22b8b8f4,5a82ba1640f0b6230269c613
622643,4ad54f05-bdce-4317-a92e-154f22b8b8f4,5a82ba15ed915d74e6237535
622644,e9da752a-cc0d-4150-a10f-941d4cdd9252,5a81bdc0ed915d74e6233dca
622644,e9da752a-cc0d-4150-a10f-941d4cdd9252,5a81bdc040f0b62302698e93
622645,d57970e0-7e00-4657-9d35-0793dde97153,5a82a55240f0b6230269bf47
622645,d57970e0-7e00-4657-9d35-0793dde97153,5a82a553ed915d74e6236e96
622646,ee71bda1-c84e-4c95-bde4-c7af90bc547c,5a823e6240f0b62305b93408
622646,ee71bda1-c84e-4c95-bde4-c7af90bc547c,5a823e6540f0b62305b93409
471743,e33df5bc-9349-49e2-a78e-3f9f89d0072d,5a807fb340f0b62302693dd6
471743,e33df5bc-9349-49e2-a78e-3f9f89d0072d,5a807fb240f0b62305b8b813
867605,87d08501-b26b-4ade-aee1-1d2562b363f7,5e4ff39ce90e074dcf842a82
867605,87d08501-b26b-4ade-aee1-1d2562b363f7,5e4ff39cd3bf7f393e6182a0
901480,a919fe55-a532-4b9c-b773-ebd594c47c4f,5f115d333a6f405c096c34dd
901480,a919fe55-a532-4b9c-b773-ebd594c47c4f,5f115d33d3bf7f5ba726b1d2
901482,c6a2dd79-5513-43c8-9708-c2dfb43d92d6,5f115d743a6f405c0f80abf9
1023169,76b3810e-b542-42f5-a91b-12a48a459654,615b2660e90e07197e1662de
1023169,76b3810e-b542-42f5-a91b-12a48a459654,615b26618fa8f52978e149df
1268914,2838d957-3a35-40da-b32e-c07bd8a54639,66f52cb4e84ae1fd8592e921
537198,26cb8a0f-6276-4023-850a-ce681d39f1b3,5a817fef40f0b62302697a40
537198,26cb8a0f-6276-4023-850a-ce681d39f1b3,5a817ff1ed915d74e623299b
142721,7a132602-c1bb-4493-aad5-050900af40a2,5a7ad9f340f0b66eab99d16a
49937,77f35188-3752-48d0-bcb7-07f834dac09c,5a78d91f40f0b6324769aa28
