slug,path_for_alternative_url
reducing-conflict-in-burma,/government/world/burma
improving-human-rights-in-burma,/government/world/burma
supporting-democratic-reform-and-good-governance-in-burma,/government/world/burma
supporting-development-in-burma,/government/world/burma
increasing-business-with-burma,/government/world/burma
