ignorestatus,old_url,title,summary,body,publication_type,policy_1,organisation,ignoredate,publication_date,urn,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title
new,http://www.dft.gov.uk/foi/dsa-ia0020012,Practical and theory tests conducted with voiceovers or translators,,Practical and theory tests conducted with voiceovers or translators from 2006/7 to 2010/11.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-15,15-Oct-2012,ia0020012,http://assets.dft.gov.uk/foi/dsa-ia0020012/dsa-ia0020012a.pdf,"Practical and theory tests conducted with voiceovers or translators (PDF, 20KB)",http://assets.dft.gov.uk/foi/dsa-ia0020012/dsa-ia0020012b.pdf,"Top five most frequently used voiceovers at the theory test in each financial year from 2006/7 to 2010/11. (PDF, 7KB)",http://assets.dft.gov.uk/foi/dsa-ia0020012/dsa-ia0020012c.pdf,"Top five theory test centres that had the greatest number of tests conducted with a translator in each of the financial years from 2006/7 to 2010/11. (PDF, 7KB)",http://assets.dft.gov.uk/foi/dsa-ia0020012/dsa-ia0020012d.pdf,"Top five practical test centres that had the greatest number of practical tests conducted with an interpreter in each of the financial years from 2006/7 to 2010/11. (PDF, 8KB)",,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia0020312,Module one and module two bike tests by category,,"The number of module one and module two bike tests conducted, passed and failed for categories A, A1 and A2 in 2011.",foi-releases,making-roads-safer,driving-standards-agency,2012-10-15,15-Oct-2012,ia0020312,http://assets.dft.gov.uk/foi/dsa-ia0020312/dsa-ia0020312a.pdf,"The number of motorcycle practical tests conducted, passed and failed in 2011 broken down by category and age. (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0020312/dsa-ia0020312b.pdf,"Table showing the number of motorcycle practical tests conducted, passed and failed in 2011 broken down by category and age. (PDF, 9KB)",http://assets.dft.gov.uk/foi/dsa-ia0020312/dsa-ia0020312c.pdf,"Freedom of Information Act – section 40 (PDF, 20KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia0021312,Car practical and Theory tests conducted in Norfolk between 2006/07 and 2010/11,,"The number of car theory and practical tests conducted at King's Lynn, Lowestoft and Norwich in 2006/7, 2007/8, 2008/9, 2009/10 and 2010/11.",foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0021312,http://assets.dft.gov.uk/foi/dsa-ia0021312/dsa-ia0021312a.pdf,"The number of car theory and practical tests conducted at King’s Lynn, Lowestoft and Norwich in 2006/7, 2007/8, 2008/9, 2009/10 and 2010/11 broken down by gender, and the number of candidates who passed on their first attempt. (PDF, 18KB)",http://assets.dft.gov.uk/foi/dsa-ia0021312/dsa-ia0021312b.pdf,"Freedom of Information Act – section 21 (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0021312/dsa-ia0021312c.pdf,"Number of car theory tests conducted and passed broken down by gender at King’s Lynn, Lowestoft and Norwich. (PDF, 7KB)",http://assets.dft.gov.uk/foi/dsa-ia0021312/dsa-ia0021312d.pdf,"Number of car theory tests passed at the first attempt at King’s Lynn, Lowestoft and Norwich. (PDF, 7KB)",,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia002231,Car practical test cancellations and complaints,,"The number of car practical tests in 2011 where the candidate failed to attend,  late cancellation by candidate/school or the candidate was late for test.",foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0022312,http://assets.dft.gov.uk/foi/dsa-ia0022312/dsa-ia0022312a.pdf,"The number of car practical tests in 2011 where the candidate failed to attend,  late cancellation by candidate/school or the candidate was late for test. (PDF, 20KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003211,Car practical and theory tests conducted at Northampton with a interpreter or voiceover,,The number of car practical and theory tests conducted at Northampton with a interpreter or voiceover and which lanuages they were translated into to.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0032112,http://assets.dft.gov.uk/foi/dsa-ia0032112/dsa-ia0032112a.pdf,"The number of car practical and theory tests conducted at Northampton with a interpreter or voiceover and which lanuages they were translated into to. (PDF, 20KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003212,Compensation payments due to accidents at work,,The amount DSA has paid out in compensation as a result of accidents at work from 1 May 2011 to 30 April 2012.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0032312,http://assets.dft.gov.uk/foi/dsa-ia0032312/dsa-ia0032312a.pdf,"The amount DSA has paid out in compensation as a result of accidents at work from 1 May 2011 to 30 April 2012. (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0032312/dsa-ia0032312b.pdf,"Freedom of Information Act – section 40 (PDF, 20KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003281,Top 10 driving test centres that have conducted the greatest number of tests with an interpreter,,The top 10 DTCs that conducted the greatest number of car practical tests with an interpreter in 2011/12.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0032812,http://assets.dft.gov.uk/foi/dsa-ia0032812/dsa-ia0032812a.pdf,"The top 10 DTCs that conducted the greatest number of car practical tests with an interpreter in 2011/12. (PDF, 17KB)",,,,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003291,Car practical tests conducted at Cheltenham,,"The number of car practical tests conducted, passed and those passed at the first attempt nationwide and at Cheltenham.",foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0032912,http://assets.dft.gov.uk/foi/dsa-ia0032912/dsa-ia0032912a.pdf,"The number of car practical tests conducted, passed and those passed at the first attempt nationwide and at Cheltenham. (PDF, 16KB)",http://assets.dft.gov.uk/foi/dsa-ia0032912/dsa-ia0032912b.pdf,"Freedom of Information Act – section 21 (PDF, 11KB)",http://assets.dft.gov.uk/foi/dsa-ia0032912/dsa-ia0032912c.pdf,"Freedom of Information Act – section 44 (PDF, 15KB)",,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia003301,Complaints received about the hazard perception test,,The number of complaints received about the hazard perception (HPT) segment of the theory test for car and motorcycle drivers.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0033012,http://assets.dft.gov.uk/foi/dsa-ia0033012/dsa-ia0033012a.pdf,"The number of complaints received about the hazard perception (HPT) segment of the theory test for car and motorcycle drivers. (PDF, 17KB)",http://assets.dft.gov.uk/foi/dsa-ia0033012/dsa-ia0033012b.pdf,"Freedom of Information Act – section 12 (PDF, 11KB)",,,,,,,,,,,,,,
new,http://www.dft.gov.uk/foi/dsa-ia0033212,Large good vehicle and trailer tests conducted and passed,,The number of Large good vehicle and trailer tests conducted and passed in 2011 and between January and March 2012.,foi-releases,making-roads-safer,driving-standards-agency,2012-10-17,17-Oct-2012,ia0033212,http://assets.dft.gov.uk/foi/dsa-ia0033212/dsa-ia0033212a.pdf,"The number of Large good vehicle and trailer tests conducted and passed in 2011 and between January and March 2012. (PDF, 15KB)",http://assets.dft.gov.uk/foi/dsa-ia0033212/dsa-ia0033212b.pdf,"Freedom of Information Act – section 44 (PDF, 8KB)",,,,,,,,,,,,,,
