old_url,title,body,publication_type,policy_1,policy_2,policy_3,organisation,document_series,ignore date,publication_date,ignore source,ignore disclosure,json_attachment,ignore note
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/permanentsecretarysmeetings/index.html,Permanent Secretary's meetings,"Request: For information about meetings between the Permanent Secretary and external organisations

Disclosure: The Department for Communities and Local Government has released information about meetings that have taken place between the Permanent Secretary and external organisations between 1 September and 2 November 2010.

Note: The Department will in future be proactively publishing this information on a retrospective quarterly basis, starting with the period November - December 2010.",foi-releases,,,,department-for-communities-and-local-government,,1-Dec-2010,1-Dec-2010,For information about meetings between the Permanent Secretary and external organisations,The Department for Communities and Local Government has released information about meetings that have taken place between the Permanent Secretary and external organisations between 1 September and 2 November 2010.,"[{""text"": ""Permanent Secretary's meetings 1 September - 2 November 2010"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1786407.xls""}]","The Department will in future be proactively publishing this information on a retrospective quarterly basis, starting with the period November - December 2010."
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/futuregonetwork/index.html,Future of the Government Office Network - additional statistical and factual information,"Request: For information concerning consultations and meetings regarding the future of the Government Office Network.

Disclosure: The Department for Communities and Local Government has released additional statistical and factual information relating to this request.",foi-releases,,,,department-for-communities-and-local-government,,17-Nov-2010,17-Nov-2010,For information concerning consultations and meetings regarding the future of the Government Office Network.,The Department for Communities and Local Government has released additional statistical and factual information relating to this request.,"[{""text"": ""Further request response"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1786092.pdf""}, {""text"": ""Additional factual information released"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1786072.pdf""}, {""text"": ""Additional statistical information released"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1786098.xls""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/portraitqueen/index.html,Portrait of HM The Queen Displayed In DCLG HQ in London,"Request: For information relating to the purchase and display of the portrait of HM The Queen within the Department for Communities and Local Government.

Disclosure: The Department for Communities and Local Government has released information about the invoiced cost, funding, the display location, details relating to the artist and the portrait itself, who requested the purchase and other details relating to reasons for the purchase.",foi-releases,,,,department-for-communities-and-local-government,,10-Nov-2010,10-Nov-2010,For information relating to the purchase and display of the portrait of HM The Queen within the Department for Communities and Local Government.,"The Department for Communities and Local Government has released information about the invoiced cost, funding, the display location, details relating to the artist and the portrait itself, who requested the purchase and other details relating to reasons for the purchase.","[{""text"": ""Portrait of HM The Queen in DCLG Office London"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1784064.pdf""}, {""text"": ""Royal Images invoice for portrait of HM The Queen"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1784085""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/meetingsdepartmenteducation/index.html,Meetings with the Department for Education,"Request: For information about meetings between ministers or special advisers in the Department for Communities and Local Government, and ministers or special advisers in the Department for Education between 12 May and 15 September 2010.

Disclosure: The Department for Communities and Local Government has released information about relevant meetings, with the exception of Cabinet and Cabinet Committee meetings.",foi-releases,,,,department-for-communities-and-local-government,,22-Nov-2010,22-Nov-2010,"For information about meetings between ministers or special advisers in the Department for Communities and Local Government, and ministers or special advisers in the Department for Education between 12 May and 15 September 2010.","The Department for Communities and Local Government has released information about relevant meetings, with the exception of Cabinet and Cabinet Committee meetings.","[{""text"": ""Request for information: Meetings with Department for Education"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1781496.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/scsbonuses2010/index.html,Senior Civil Service (SCS) and Board member bonuses in 2010,"Request: For information about the number of SCS and Board members eligible for a bonus and the amount of bonus awarded.

Disclosure: The Department for Communities and Local Government has released information about the number of SCS eligible for a bonus and the range of bonus payments awarded and, for Board members, the number of Board members eligible for a bonus and the highest, lowest, mean, median and mode bonus payments awarded.",foi-releases,,,,department-for-communities-and-local-government,,8-Oct-2010,8-Oct-2010,For information about the number of SCS and Board members eligible for a bonus and the amount of bonus awarded.,"The Department for Communities and Local Government has released information about the number of SCS eligible for a bonus and the range of bonus payments awarded and, for Board members, the number of Board members eligible for a bonus and the highest, lowest, mean, median and mode bonus payments awarded.","[{""text"": ""SCS and Board members' bonuses 2010"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1775554.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/abolitionauditcommission/index.html,Abolition of the Audit Commission,"Request: For information about the abolition of the Audit Commission.

Disclosure: The Department of Communities and Local Government has released information in the form of letters, internal emails, submissions and other documents relating to various considerations concerning the decision to abolish the Audit Commission.",foi-releases,,,,department-for-communities-and-local-government,,"11 and 25 October, 1 November 2010",1-Nov-2010,For information about the abolition of the Audit Commission.,"The Department of Communities and Local Government has released information in the form of letters, internal emails, submissions and other documents relating to various considerations concerning the decision to abolish the Audit Commission.","[{""text"": ""Notes on the disclosure of documents relating to the abolition of the Audit Commission"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1759909.pdf""}, {""text"": ""Advice relating to the abolition of the Audit Commission (Documents 3, 4, 7, and 12)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1759951.pdf""}, {""text"": ""Briefing relating to the abolition of the Audit Commission (Documents 14, 20, 22, 25, 26 and 28)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1759969.pdf""}, {""text"": ""Emails relating to the abolition of the Audit Commission (Documents 1, 2, 10, 11, 13, 15 and 16)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1760008.pdf""}, {""text"": ""Papers relating to the abolition of the Audit Commission (Documents 5, 6, 8, 9 and 17)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1760025.pdf""}, {""text"": ""Letters relating to the abolition of the Audit Commission (Documents 18, 19 and 24)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1760046.pdf""}, {""text"": ""Letter from Secretary of State to Margaret Hodge - 13 August 2010 (Document 21)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1760110.pdf""}, {""text"": ""Letter from Secretary of State to Margaret Hodge - 8 September 2010 (Document 23)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1760118.pdf""}, {""text"": ""Letter from Secretary of State to Michael O'Higgins - 13 August 2010 (Document 27)"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1760148.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/inheritedcouncilhousing/index.html,Inherited council housing,"Request: For information about the number of council houses passed on to a successor tenant after the death of the original tenant.

Disclosure: Communities and Local Government has released information collected via the Survey of English Housing up to 2007-08.",foi-releases,,,,department-for-communities-and-local-government,,18-Oct-2010,18-Oct-2010,For information about the number of council houses passed on to a successor tenant after the death of the original tenant.,Communities and Local Government has released information collected via the Survey of English Housing up to 2007-08.,"[{""text"": ""Response: Inherited council housing"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1746257.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/foirequests/index.html,FOI requests between January 2005 and July 2010,"Request:  For a list of all FOI requests received since 1 January 2005

Disclosure: Communities and Local Government has released, for all FOI requests received between 1 January 2005 and 30 July 2010, database record information showing the date of request and reply, the Department's reference number, the subject of the request, and the outcome of the request.",foi-releases,,,,department-for-communities-and-local-government,,10-Sep-2010,10-Sep-2010,For a list of all FOI requests received since 1 January 2005,"Communities and Local Government has released, for all FOI requests received between 1 January 2005 and 30 July 2010, database record information showing the date of request and reply, the Department's reference number, the subject of the request, and the outcome of the request.","[{""text"": ""Freedom of Information requests received from January 2005 to July 2010"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1737689.xls""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/financialassistance/index.html,Financial assistance towards the education of DCLG employees' children,"Request:  Information on any financial assistance towards the education of CLG employee's children at primary, secondary or university levels.

Disclosure: No assistance provided.",foi-releases,,,,department-for-communities-and-local-government,,15-Sep-2010,15-Sep-2010,"Information on any financial assistance towards the education of CLG employee's children at primary, secondary or university levels.",No assistance provided.,"[{""text"": ""Response: Financial assistance towards the education of CLG employee's children"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1732717.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/seniorperformanceawards/index.html,Senior Civil Service Performance Awards,"Request: Information regarding the percentage of the Senior Civil Service (SCS) receiving a bonus in 2010-11 (this may have related to reports from 2009-10) and the average bonus paid.

Disclosure: Details of CLG performance awards for the SCS",foi-releases,,,,department-for-communities-and-local-government,,15-Sep-2010,15-Sep-2010,Information regarding the percentage of the Senior Civil Service (SCS) receiving a bonus in 2010-11 (this may have related to reports from 2009-10) and the average bonus paid.,Details of CLG performance awards for the SCS,"[{""text"": ""Response: Details of CLG performance awards for the SCS"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1732671.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/artofficesministers/index.html,Art in the offices of ministers and special advisers,"Request: Information about art and clocks provided for the offices of Ministers and Special Advisers in the Department of Communities and Local Government since 12 May 2010.

Disclosure: A table showing the works of art provided in Ministers' offices in this Department since 12 May 2010 plus a narrative explanation.",foi-releases,,,,department-for-communities-and-local-government,,14-Sep-2010,14-Sep-2010,Information about art and clocks provided for the offices of Ministers and Special Advisers in the Department of Communities and Local Government since 12 May 2010.,A table showing the works of art provided in Ministers' offices in this Department since 12 May 2010 plus a narrative explanation.,"[{""text"": ""Response: Art in the Offices of Ministers and Special Advisers"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1732665.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/auditcommission/index.html,Audit Commission,"Request: Information regarding a CLG press of the 13 August 2010 concerning the disbanding of the Audit Commission, details requested of the stated £50m per year saving

Disclosure: Details of estimated figures and link to Audit Commission Annual Report 2008/9.",foi-releases,,,,department-for-communities-and-local-government,,14-Sep-2010,14-Sep-2010,"Information regarding a CLG press of the 13 August 2010 concerning the disbanding of the Audit Commission, details requested of the stated £50m per year saving",Details of estimated figures and link to Audit Commission Annual Report 2008/9.,"[{""text"": ""Response: Details of estimated figures and link to Audit Commission Annual Report 2008/9"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1732653.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/decenthomesfunding/index.html,Decent Homes funding,"Request:  Information detailing a breakdown of Decent Home funding for Sandwell Metropolitan Council since Decent Home Programme began. Information detailing a breakdown of projected funding year by year over the next five years for Sandwell Metropolitan Council.

Disclosure: A breakdown of Decent Home funding for Sandwell Metropolitan Council.  Future projected funding undecided as dependent on the Spending Review.",foi-releases,,,,department-for-communities-and-local-government,,13-Sep-2010,13-Sep-2010,Information detailing a breakdown of Decent Home funding for Sandwell Metropolitan Council since Decent Home Programme began. Information detailing a breakdown of projected funding year by year over the next five years for Sandwell Metropolitan Council.,A breakdown of Decent Home funding for Sandwell Metropolitan Council.  Future projected funding undecided as dependent on the Spending Review.,"[{""text"": ""Response: Decent Homes Funding"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1732476.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/bonuspaymentscivilservant/index.html,Bonus payments to civil servants,"Request: Information regarding bonus payment to CLG staff for 2008/9 and 2009/10

Disclosure: Total number of SCS staff in receipt of a bonus and total paid year.  Explanation of scheme below SCS.",foi-releases,,,,department-for-communities-and-local-government,,16-Sep-2010,16-Sep-2010,Information regarding bonus payment to CLG staff for 2008/9 and 2009/10,Total number of SCS staff in receipt of a bonus and total paid year.  Explanation of scheme below SCS.,"[{""text"": ""Response: Bonus Payments to Civil Servants"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1732452.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/contractualfaithwise/index.html,Contractual arrangements with Faithwise Ltd,"Request: Information regarding the Department contractual arrangements with Faithwise LTD from August 2009 - July 2010.

Disclosure: Period of contract, what was provided, name of the contractor, days worked and total spend.",foi-releases,,,,department-for-communities-and-local-government,,17-Sep-2010,17-Sep-2010,Information regarding the Department contractual arrangements with Faithwise LTD from August 2009 - July 2010.,"Period of contract, what was provided, name of the contractor, days worked and total spend.","[{""text"": ""Response: Contractual arrangements with Faithwise Ltd"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1732459.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/maintenancepotplants/index.html,Maintenance of pot plants,"Request: Information regarding the maintenance of Pot Plants.

Disclosure: Confirmation that no pot plant has been purchased since May 2010 and details on the plant maintenance contract with Mitie.",foi-releases,,,,department-for-communities-and-local-government,,17-Sep-2010,17-Sep-2010,Information regarding the maintenance of Pot Plants.,Confirmation that no pot plant has been purchased since May 2010 and details on the plant maintenance contract with Mitie.,"[{""text"": ""Response: Maintenance of Pot Plants"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1678484.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/planningappealoak/index.html,Planning Appeal Oak Tree Farm,"Request: Information regarding the Planning Appeal for Oak Tree Farm (Ref APP/H1515/A/09/2106911).

Disclosure: Ministerial involvement, casework allocation and information regarding recovery of the case.",foi-releases,,,,department-for-communities-and-local-government,,16-Sep-2010,16-Sep-2010,Information regarding the Planning Appeal for Oak Tree Farm (Ref APP/H1515/A/09/2106911).,"Ministerial involvement, casework allocation and information regarding recovery of the case.","[{""text"": ""Response: Planning Appeal Oak Tree Farm"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/16784841.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/specialadvisers/index.html,Special advisers,"Request: Information regarding the details of special adviser's contracts.

Disclosure: The names and salaries of the Special Advisers employed by CLG and details on accessing the Prime Minister's Statement 10 June 2010.",foi-releases,,,,department-for-communities-and-local-government,,13-Sep-2010,13-Sep-2010,Information regarding the details of special adviser's contracts.,The names and salaries of the Special Advisers employed by CLG and details on accessing the Prime Minister's Statement 10 June 2010.,"[{""text"": ""Response: Special Advisers"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1724494.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/spendrightmovehometrack/index.html,Spend with Rightmove and Hometrack,"Request: For information regarding the payments to Rightmove of £26,494 and Hometrack of £3,680 released in our published spend figures for 2009/10.

Disclosure: Communities and Local Government has released for both companies named explanations for the payments for 2009/10.",foi-releases,,,,department-for-communities-and-local-government,,13-Sep-2010,13-Sep-2010,"For information regarding the payments to Rightmove of £26,494 and Hometrack of £3,680 released in our published spend figures for 2009/10.",Communities and Local Government has released for both companies named explanations for the payments for 2009/10.,"[{""text"": ""Response: Spend with Rightmove and Hometrack"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1722404.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/counciltaxincreases/index.html,Council Tax increases,"Request: For information concerning the full analysis of supporting data for paragraph 8 in the CLG consultation paper about council tax referendums.

Disclosure: Communities and Local Government has released a table of information that demonstrates that increases in council tax revenue from town and parish councils have outstripped those for England in each of the last five years.",foi-releases,,,,department-for-communities-and-local-government,,14-Sep-2010,14-Sep-2010,For information concerning the full analysis of supporting data for paragraph 8 in the CLG consultation paper about council tax referendums.,Communities and Local Government has released a table of information that demonstrates that increases in council tax revenue from town and parish councils have outstripped those for England in each of the last five years.,"[{""text"": ""Response: Council Tax Increases"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1722301.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/financereporting/index.html,Finance reporting,"Request: For information regarding the detailed delineation of what DCLG DEL is spent on (as opposed to local government spending generally) - in particular, national non domestic rates payments, which don't appear broken down in the Resource Accounts.

Disclosure: Communities and Local government has released details and tables for the CLG DEL budgets, links to the Department Annual Report 2009, Department Core Financial and Performance Tables and other useful government websites.",foi-releases,,,,department-for-communities-and-local-government,,7-Sep-2010,7-Sep-2010,"For information regarding the detailed delineation of what DCLG DEL is spent on (as opposed to local government spending generally) - in particular, national non domestic rates payments, which don't appear broken down in the Resource Accounts.","Communities and Local government has released details and tables for the CLG DEL budgets, links to the Department Annual Report 2009, Department Core Financial and Performance Tables and other useful government websites.","[{""text"": ""Response: Finance Reporting"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1722204.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/humanresourcescontracts/index.html,Human resources contracts,"Request: For information concerning Human Resources contracts let by the Department.

Disclosure: Communities and Local Government has released information about the payroll and human resources contracts.",foi-releases,,,,department-for-communities-and-local-government,,3-Sep-2010,3-Sep-2010,For information concerning Human Resources contracts let by the Department.,Communities and Local Government has released information about the payroll and human resources contracts.,"[{""text"": ""Response - Human Resources contracts"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1706603.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/regionalfirecontrol/index.html,Regional Fire Control Centres,"Request: For information concerning the transfer of functions from local Fire Control Rooms to the Regional Fire Control Centres.

Disclosure: Communities and Local Government has released information about the ""cut-over"" dates and activities transferring.",foi-releases,,,,department-for-communities-and-local-government,,27-Aug-2010,27-Aug-2010,For information concerning the transfer of functions from local Fire Control Rooms to the Regional Fire Control Centres.,"Communities and Local Government has released information about the ""cut-over"" dates and activities transferring.","[{""text"": ""Response - Regional Fire Control Centres"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1705515.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/localauthorityagencystaff/index.html,Local authority agency staff,"Request: For information concerning agency staff hired by UK councils in 2008-09

Disclosure: Communities and Local Government has released information about the estimated cost to councils in England of hiring agency staff",foi-releases,,,,department-for-communities-and-local-government,,8 September 2010,8-Sep-2010,For information concerning agency staff hired by UK councils in 2008-09,Communities and Local Government has released information about the estimated cost to councils in England of hiring agency staff,"[{""text"": ""Response - Local authority agency staff"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1704333.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/futuregovernmentoffice/index.html,Future of the Government Office Network,"Request: For information concerning consultations and meetings to consider the future of the Government Office Network

Disclosure: Communities and Local Government has released statistical and factual information relating to this request, as well as relevant diary appointment information for the Secretary of State.",foi-releases,,,,department-for-communities-and-local-government,,16-Aug-2010,16-Aug-2010,For information concerning consultations and meetings to consider the future of the Government Office Network,"Communities and Local Government has released statistical and factual information relating to this request, as well as relevant diary appointment information for the Secretary of State.","[{""text"": ""Response - Future of the Government Office Network"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1700062.pdf""}, {""text"": ""Factual and background information"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1700065.pdf""}, {""text"": ""Diary appointments"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1700068.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/hospitalitytravelmeetings/index.html,"Hospitality, travel and ministers' meetings","Request: For information concerning hospitality received by ministers and senior civil servants, overseas travel by ministers, and ministers' meetings with external organisations

Disclosure: Communities and Local Government has provided an explanation of information that is published, or will be published, on this website.",foi-releases,,,,department-for-communities-and-local-government,,16-Aug-2010,16-Aug-2010,"For information concerning hospitality received by ministers and senior civil servants, overseas travel by ministers, and ministers' meetings with external organisations","Communities and Local Government has provided an explanation of information that is published, or will be published, on this website.","[{""text"": ""Response - Hospitality, travel and ministers' meetings"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1699922.pdf""}]",
