old_url,title,body,publication_type,policy_1,policy_2,policy_3,organisation,document_series,ignore date,publication_date,ignore source,ignore disclosure,json_attachment,ignore note
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/ministerspay/index.html,Pay and pensions for ministers,"Request: Freedom of Information disclosure for information about ministers' pay reductions and pensions contributions.

Disclosure: The Department for Communities and Local Government has released information about a five percent reduction in ministers' pay and the rules governing ministers' pensions contributions.",foi-releases,,,,department-for-communities-and-local-government,,6-Dec-2010,6-Dec-2010,Freedom of Information disclosure for information about ministers' pay reductions and pensions contributions.,The Department for Communities and Local Government has released information about a five percent reduction in ministers' pay and the rules governing ministers' pensions contributions.,"[{""text"": ""Response: Pay and pensions for ministers"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1827986.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/firstclasstravel/index.html,First class travel,"Request: For information about Departmental policies and guidance and expenditure for 2007-08, 2008-09 and 2009-10 on employee first class travel.

Disclosure: The Department for Communities and Local Government has released information about restrictions on first class travel, guidance to staff and available financial information.",foi-releases,,,,department-for-communities-and-local-government,,1-Dec-2010,1-Dec-2010,"For information about Departmental policies and guidance and expenditure for 2007-08, 2008-09 and 2009-10 on employee first class travel.","The Department for Communities and Local Government has released information about restrictions on first class travel, guidance to staff and available financial information.","[{""text"": ""Response: First class travel"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1827858.pdf""}, {""text"": ""Travel and subsistence - Annex A and B"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1825870.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/staffbonuses/index.html,Staff bonuses,"Request: For information about bonuses paid to staff for the financial years 2007-08, 2008-09, 2009-10 and current financial year.

Disclosure: The Department for Communities and Local Government has released information about the total amounts paid in bonuses for the requested periods and provided links to related information.",foi-releases,,,,department-for-communities-and-local-government,,1-Dec-2010,1-Dec-2010,"For information about bonuses paid to staff for the financial years 2007-08, 2008-09, 2009-10 and current financial year.",The Department for Communities and Local Government has released information about the total amounts paid in bonuses for the requested periods and provided links to related information.,"[{""text"": ""Total amount of bonuses paid by the main Department"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1825688.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/recruitmenttemporarystaff/index.html,Recruitment of short-term or temporary staff,"Request: For information about recruitment of staff on short-term or temporary contracts since May 2010, to include the name and job title of each member of staff and whether they previously worked for either the Conservative or Liberal Democrat parties and, if so, in what capacity.

Disclosure: The Department for Communities and Local Government has released information about the numbers of staff recruited on a short-term or temporary contract basis",foi-releases,,,,department-for-communities-and-local-government,,1-Dec-2010,1-Dec-2010,"For information about recruitment of staff on short-term or temporary contracts since May 2010, to include the name and job title of each member of staff and whether they previously worked for either the Conservative or Liberal Democrat parties and, if so, in what capacity.",The Department for Communities and Local Government has released information about the numbers of staff recruited on a short-term or temporary contract basis,"[{""text"": ""Recruitment of short-term or temporary staff"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1807371.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/shorttermcontracts/index.html,Short term employment contracts,"Request: For information about short term or temporary employment contracts since the start of the Coalition Government.

Disclosure: The Department for Communities and Local Government has released information about the number of staff recruited on short term or temporary contracts.",foi-releases,,,,department-for-communities-and-local-government,,1-Dec-2010,1-Dec-2010,For information about short term or temporary employment contracts since the start of the Coalition Government.,The Department for Communities and Local Government has released information about the number of staff recruited on short term or temporary contracts.,"[{""text"": ""Response: Short term employment contracts"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1908199.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/foreignwebsites/index.html,Foreign government websites,"Request: For information about access to foreign government websites.

Disclosure: The Department for Communities and Local Government has released information confirming that access to foreign governments' websites are not disabled and are, therefore, accessible by the Department's staff.",foi-releases,,,,department-for-communities-and-local-government,,29-Nov-2010,29-Nov-2010,For information about access to foreign government websites.,"The Department for Communities and Local Government has released information confirming that access to foreign governments' websites are not disabled and are, therefore, accessible by the Department's staff.","[{""text"": ""Response: Foreign government websites"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1908202.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/laspenddata/index.html,Local authority representations on publication of spending data,"Request: For information about the representations received from local councils and associations of local councils relating to publishing information about items of expenditure over £500 by 1 January 2011.

Disclosure: The Department for Communities and Local Government has released information contained in 17 representations the Department received and the replies issued.",foi-releases,,,,department-for-communities-and-local-government,,22-Dec-2010,22-Dec-2010,For information about the representations received from local councils and associations of local councils relating to publishing information about items of expenditure over £500 by 1 January 2011.,The Department for Communities and Local Government has released information contained in 17 representations the Department received and the replies issued.,"[{""text"": ""Response: Local authority representations on publication of spend data - 1"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1805321.pdf""}, {""text"": ""Response: Local authority representations on publication of spend data - 2"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/18053211.pdf""}, {""text"": ""Response: Local authority representations on publication of spend data - 3"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1805334.pdf""}, {""text"": ""Response: Local authority representations on publication of spend data - 4"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1805339.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/gpc/index.html,Government purchasing cards (GPC),"Request : For information about Department for Communities and Local Government's use of the GPC.

Disclosure : The Department for Communities and Local Government has released information about the brand of card, spend in 2009-10 and contract information.",foi-releases,,,,department-for-communities-and-local-government,,22-Sep-2010,22-Sep-2010,: For information about Department for Communities and Local Government's use of the GPC.,": The Department for Communities and Local Government has released information about the brand of card, spend in 2009-10 and contract information.","[{""text"": ""GPC response"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1791505.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/publicconsultations/index.html,Public consultations,"Request: For information about public consultations, and their duration, completed by the Department for Communities and Local Government in 2009.

Disclosure: The Department for Communities and Local Government has released information about the number of formal, informal or technical consultations and their duration.",foi-releases,,,,department-for-communities-and-local-government,,22-Sep-2010,22-Sep-2010,"For information about public consultations, and their duration, completed by the Department for Communities and Local Government in 2009.","The Department for Communities and Local Government has released information about the number of formal, informal or technical consultations and their duration.","[{""text"": ""Public Consultations response"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1791500.pdf""}]",
http://www.communities.gov.uk/archived/general-content/corporate/disclosurelog2010/fundingenvirongroups/index.html,Funding to environmental groups,"Request: For information about the amount of money directly spent on or granted to specified environmental groups by the Department for Communities and Local Government in the financial year 2009-10.

Disclosure: The Department for Communities and Local Government has provided the requested information for the specified groups and other organisations meeting the applicant's criteria.",foi-releases,,,,department-for-communities-and-local-government,,21 September 2010,21-Sep-2010,For information about the amount of money directly spent on or granted to specified environmental groups by the Department for Communities and Local Government in the financial year 2009-10.,The Department for Communities and Local Government has provided the requested information for the specified groups and other organisations meeting the applicant's criteria.,"[{""text"": ""Response: Funding to environmental groups"", ""link"": ""http://www.communities.gov.uk/documents/corporate/pdf/1787539.pdf""}, {""text"": ""Payments to third party environmental groups 2009/10"", ""link"": ""http://www.communities.gov.uk/documents/corporate/xls/1787559.xls""}]",
