topic,sector,name,ukba_url,govuk_url
Asylum policy,asylum-policy,Asylum policy instructions,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/asylumpolicyinstructions/,https://www.gov.uk/government/collections/asylum-policy-instructions
Asylum policy,asylum-policy,Asylum process guidance,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/asylumprocess/,https://www.gov.uk/government/collections/asylum-process-guidance
Asylum policy,asylum-policy,Asylum support policy bulletins,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/asylumsuppbull/,https://www.gov.uk/government/collections/asylum-support-policy-bulletins
Asylum policy,asylum-policy,Country of origin information,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/coi/,https://www.gov.uk/government/collections/country-of-origin-information
Asylum policy,asylum-policy,Country-specific asylum policy,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/csap/,https://www.gov.uk/government/collections/country-specific-asylum-policy-operational-guidance-notes
Asylum policy,asylum-policy,Country Specific Asylum Policy OGNs,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/countryspecificasylumpolicyogns/,https://www.gov.uk/government/collections/country-specific-asylum-policy-operational-guidance-notes
Businees and commercial caseworker guidance,commerical-casework-guidance,Working in the UK casework instructions,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/witukinstructions/,https://www.gov.uk/government/collections/working-in-the-uk-casework-instructions
Businees and commercial caseworker guidance,commerical-casework-guidance,Business and commercial caseworker guidance,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/businessandcommercialcaseworker/,https://www.gov.uk/government/publications/business-and-commercial-caseworker-guidance
Businees and commercial caseworker guidance,commerical-casework-guidance,Business and commercial occupation sheets,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/businessandcommercialoccsheet/,https://www.gov.uk/government/publications/business-and-commercial-occupation-sheets
Businees and commercial caseworker guidance,commerical-casework-guidance,HSMP caseworker guidance,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/ecis/hsmpcaseworkerguidance/,https://www.gov.uk/government/publications/working-in-the-uk-casework-instructions-hsmp-caseworker-guidance
Enforcement,enforcement,Enforcement Instructions and Guidance,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/enforcement/,https://www.gov.uk/government/collections/enforcement-instructions-and-guidance
Enforcement,enforcement,Immigration Offences and Breaches - chapters 1-10,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/enforcement/oemsectiona/,https://www.gov.uk/government/publications/chapters-1-to-10-immigration-offences-and-breaches
Enforcement,enforcement,Deportations and Criminal Caseworking - chapters 11-15,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/enforcement/oemsectionb/,https://www.gov.uk/government/publications/chapters-11-to-15-deportations-and-criminal-caseworking
Enforcement,enforcement,Powers and Prosecutions - chapters 16-18,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/enforcement/oemsectionc/,https://www.gov.uk/government/publications/chapters-16-to-18-powers-and-prosecutions
Enforcement,enforcement,Restrictions - chapters 19-22a,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/enforcement/oemsectiond/,https://www.gov.uk/government/publications/chapters-19-to-22a-restrictions
Enforcement,enforcement,Operational Enforcement Activity - chapters 23-44,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/enforcement/oemsectione/,https://www.gov.uk/government/publications/chapters-23-to-45-operational-enforcement-activity
Enforcement,enforcement,Families and Children - chapter 45,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/enforcement/familieschildren/,https://www.gov.uk/government/publications/chapter-45-families-and-children
Enforcement,enforcement,Detention and Removals - chapters 46-62,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/enforcement/detentionandremovals/,https://www.gov.uk/government/publications/chapters-46-to-62-detention-and-removals
Enforcement,enforcement,Detention service orders,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/detention-services-orders/,https://www.gov.uk/government/collections/detention-service-orders
Enforcement,enforcement,Operating standards for pre-departure accommodation,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/op-standards-pre-departure/,https://www.gov.uk/government/publications/pre-departure-operating-standards
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - entry clearance basics,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/ecb/,https://www.gov.uk/government/collections/entry-clearance-basics-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - visit and transit,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/vat/,https://www.gov.uk/government/collections/visit-and-transit-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - exempt,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/exm/,https://www.gov.uk/government/collections/exempt-entry-clearance-guidance
