topic,sector,name,ukba_url,govuk_url
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - armed forces,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/arf/,https://www.gov.uk/government/collections/armed-forces-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - European Nationals and Schemes,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/eun/,https://www.gov.uk/government/collections/european-nationals-and-schemes-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - Maintenance and accommodation,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/maa/,https://www.gov.uk/government/collections/maintenance-and-accommodation-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - medical issues,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/med/,https://www.gov.uk/government/collections/medical-issues-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - common travel area,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/cta/,https://www.gov.uk/government/collections/common-travel-area-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - right of abode,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/roa1/,https://www.gov.uk/government/collections/right-of-abode-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - study,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/sty/,https://www.gov.uk/government/collections/study-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - settlement,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/set/,https://www.gov.uk/government/collections/settlement-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - WRK2 - Work: entry for non - points-based system employment,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/wrk2/,https://www.gov.uk/government/collections/entry-for-non-points-based-system-employment-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - WRK3 - Work: Work Permit holder dependants,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/wrk3/,https://www.gov.uk/government/collections/work-permit-holder-dependants-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - WRK4 - Work: Turkish European Community Association Agreement (ECAA) businesspersons entry clearance applications,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/wrk4/,https://www.gov.uk/government/collections/turkish-ecaa-businesspersons-applications-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - crew members,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/crm/,https://www.gov.uk/government/collections/crew-members-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - appeals,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/apl/,https://www.gov.uk/government/collections/appeals-entry-clearance-guidance
Entry clearance guidance,entry-clearance-guidance,Entry clearance guidance - refusals,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/ecg/rfl/,https://www.gov.uk/government/collections/refusals-entry-clearance-guidance
European casework instructions,european-casework-instructions,European casework instructions,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/ecis/,https://www.gov.uk/government/collections/european-casework-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructionschapter 1,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter1/,https://www.gov.uk/government/collections/chapter-1-general-provisions-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 1A,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idichapter1a/,https://www.gov.uk/government/collections/chapter-1a-applications-for-fee-waiver-and-refunds-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 4,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter4/,https://www.gov.uk/government/collections/chapter-4-permit-free-short-term-employment-and-training-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 6,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter6/,https://www.gov.uk/government/collections/chapter-6-businessmen-and-investors-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 8 appendix FM,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/chp8-annex/,https://www.gov.uk/government/collections/chapter-8-appendix-fm-family-members-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 8,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter8/,https://www.gov.uk/government/collections/chapter-8-family-members-transitional-arrangements-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 9,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter9/,https://www.gov.uk/government/collections/chapter-9-refusal-of-entry-clearance-leave-to-enter-or-remain-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 13,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter13/,https://www.gov.uk/government/collections/chapter-13-deportation-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 14,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter14/,https://www.gov.uk/government/collections/chapter-14-persons-exempt-from-control-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 15,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter15/,https://www.gov.uk/government/collections/chapter-15-armed-forces-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 16,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter16/,https://www.gov.uk/government/collections/chapter-16-seamen-and-aircrew-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 17,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter17/,https://www.gov.uk/government/collections/chapter-17-employment-outside-the-rules-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 19,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter19/,https://www.gov.uk/government/collections/chapter-19-miscellaneous-caseworking-subjects-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 22,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idichapter22/,https://www.gov.uk/government/collections/chapter-22-passports-and-travel-documents-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 24,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter24/,https://www.gov.uk/government/collections/chapter-24-disclosure-of-information-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 25,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idishttps://www.gov.uk/government/collections/chapter25/,https://www.gov.uk/government/collections/chapter-25-implementing-the-requirements-of-the-freedom-of-information-act-2000-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 27,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idis/chapter27/,https://www.gov.uk/government/collections/chapter-27-judicial-review-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 31,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idichapter31detention/,https://www.gov.uk/government/collections/chapter-31-detention-and-detention-policy-in-port-cases-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 33,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter33/,https://www.gov.uk/government/collections/chapter-33-immigration-carriers-liability-act-1987-immigration-directorate-instructions
Immigration directorate instructions,immigration-directorate-instructions,Immigration directorate instructions - chapter 35,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/IDIs/idischapter35/,https://www.gov.uk/government/collections/chapter-35-on-entry-statistics-and-returns-immigration-directorate-instructions
Modernised guidance,modernised-guidance,Visiting,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/visiting/,https://www.gov.uk/government/collections/visiting-modernised-guidance
Modernised guidance,modernised-guidance,Studying,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/studying/,https://www.gov.uk/government/collections/studying-modernised-guidance
Modernised guidance,modernised-guidance,Working in the UK,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/working/,https://www.gov.uk/government/collections/working-in-the-uk-modernised-guidance
Modernised guidance,modernised-guidance,Other immigration categories,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/other-categories/,https://www.gov.uk/government/collections/other-immigration-categories-modernised-guidance
Modernised guidance,modernised-guidance,Asylum and other humanitarian categories: Asylum support,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/asylum-support/,https://www.gov.uk/government/collections/asylum-and-other-humanitarian-categories-modernised-guidance
Modernised guidance,modernised-guidance,Family of people settled or coming to settle in the UK,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/family/,https://www.gov.uk/government/collections/family-of-people-settled-or-coming-to-settle-modernised-guidance
Modernised guidance,modernised-guidance,"EEA nationals, Swiss nationals and EC association agreements",http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/07-eea-swiss-ec/,https://www.gov.uk/government/collections/eea-swiss-nationals-and-ec-association-agreements-modernised-guidance
Modernised guidance,modernised-guidance,Enforcement and criminal investigations,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/enforcement/,https://www.gov.uk/government/collections/enforcement-and-criminal-investigations-modernised-guidance
Modernised guidance,modernised-guidance,Returns and removals,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/returns/,https://www.gov.uk/government/collections/returns-and-removals-modernised-guidance
Modernised guidance,modernised-guidance,Cross-cutting information: Appeals,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/appeals/,https://www.gov.uk/government/collections/appeals-modernised-guidance
Modernised guidance,modernised-guidance,Cross-cutting information: Applications,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/applications/,https://www.gov.uk/government/collections/applications-modernised-guidance
Modernised guidance,modernised-guidance,Cross-cutting information: General grounds for refusing,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/general-grounds-refusing/,https://www.gov.uk/government/publications/general-grounds-for-refusal-about-this-guidance
Modernised guidance,modernised-guidance,Cross-cutting information: Identity checks,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/identity/,https://www.gov.uk/government/collections/identity-checks-modernised-guidance
Modernised guidance,modernised-guidance,Other cross-cutting information,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/cross-cut/,https://www.gov.uk/government/collections/other-cross-cutting-guidance-modernised-guidance
Modernised guidance,modernised-guidance,Criminality and detention,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/criminality-and-detention/,https://www.gov.uk/government/collections/criminality-and-detention-modernised-guidance
Modernised guidance,modernised-guidance,Armed forces,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/modernised/20-armed-forces/,https://www.gov.uk/government/publications/armed-forces-modernised-guidance
Nationality instructions,nationality-instructions,Volume 1: The British Nationality Act 1981 - caseworking instructions,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/nationalityinstructions/nivol1/,https://www.gov.uk/government/collections/nationality-instructions-volume-1
Nationality instructions,nationality-instructions,Nationality instructions: Volume 2,http://www.ukba.homeoffice.gov.uk/policyandlaw/guidance/nationalityinstructions/nivol2/,https://www.gov.uk/government/publications/nationality-instructions-volume-2
Non-compliance with the biometric registration regulations,non-compliance-biometric-registration,Non-compliance with the biometric registration regulations,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/noncompliancewithbiometricreg/,https://www.gov.uk/government/publications/non-compliance-with-the-biometric-registration-regulations
Stateless guidance,stateless-guidance,Stateless guidance,http://www.ukba.homeoffice.gov.uk/sitecontent/documents/policyandlaw/stateless-guide/,https://www.gov.uk/government/publications/stateless-guidance
