Producing organisation(s),First draft created,Edition states,Title,Author(s),Admin URL,Type
Ministry of Defence,24/01/2012 16:03:00,draft,The Armed Forces Covenant Interim Report 2011,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/874,Publication
Ministry of Defence,27/01/2012 14:24:00,draft,Transforming defence: a British perspective on defence in a time of financial challenge,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/1368,Speech
Ministry of Defence,27/01/2012 14:48:00,draft,"The nationâs commitment: cross-government support to our armed forces, their families and veterans ",Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1370,Publication
Ministry of Defence,27/01/2012 16:14:00,draft,The nationâs commitment to the armed forces community: consistent and enduring support,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/1372,Consultation
"Department for Business, Innovation & Skills; Department for Culture, Media & Sport",27/01/2012 17:01:00,draft,Creative Industries Council urges action to improve skills and training,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1375,NewsArticle
Ministry of Defence,28/01/2012 17:49:00,draft,Review of Single Source Pricing Regulations,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1392,Publication
Ministry of Defence,28/01/2012 19:15:00,draft,Strategic Review of Reserves 2009,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1395,Publication
Ministry of Defence,30/01/2012 15:01:00,draft,Ministry of Defence Annual Report and Accounts 2010-11,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1478,Publication
"Department for Business, Innovation & Skills",30/01/2012 15:21:00,draft,Willetts comments on latest UCAS application figures,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1481,NewsArticle
Ministry of Defence,30/01/2012 17:03:00,draft,Fighting Fit: a mental health plan for servicemen and veterans,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1495,Publication
Ministry of Defence,30/01/2012 17:29:00,draft,The Review of the Armed Forces Compensation Scheme - one year on,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1497,Publication
"Department for Business, Innovation & Skills",31/01/2012 11:10:00,draft,Statistics show substantial growth in apprenticeships,"Suzanne Amos, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1509,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 11:44:00,draft,New Director of Fair Access proposed,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1513,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 11:56:00,draft,UK Business Secretary visits Northern Ireland,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1517,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 12:01:00,draft,Red tape spotlight shines on company and commercial law,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1519,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 12:02:00,draft,Digital economy to be catapulted into the future,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1520,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 12:43:00,draft,Impact assessment: students at the heart of the higher education system,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1532,Publication
"Department for Business, Innovation & Skills",31/01/2012 13:55:00,draft,Business set to benefit from new intensive coaching programme,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1560,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 14:32:00,draft,Tackling employment law red tape,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1576,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 14:34:00,draft,New government and cross industry programme to make hydrogen powered travel in the UK a reality,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1579,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 14:37:00,draft,Cutting accountancy and reporting fees for SMEs,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1581,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 14:38:00,draft,Prisk sets challenge for better regulation through better regulators,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1582,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 14:44:00,draft,Last orders for unfair practices that hold back pubs,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1584,NewsArticle
Ministry of Justice,31/01/2012 14:45:00,draft,Ken Clarke visits 'Never Ending Mural',Nick Cammell,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1585,NewsArticle
Ministry of Justice,31/01/2012 14:47:00,draft,Digital technology for more swift and effective justice,Nick Cammell,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1586,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:04:00,draft,Government axes retail red tape,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1590,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:07:00,draft,Minister commits government to easing burdens on universities,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1591,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:13:00,draft,Autumn statement 2011: growth,"Suzanne Amos, Peter Herlihy",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1592,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:34:00,draft,Minister announces quality standard for National Careers Service,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1597,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:35:00,draft,New interactive careers and learning tool launches,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1598,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:39:00,draft,Government exceeds apprenticeship ambition â statistical first release,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1601,NewsArticle
Department for International Development,31/01/2012 15:39:00,draft,World must address failure in Somalia,Peter Lamb,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1602,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:44:00,draft,Cable welcomes big rise in apprenticeship numbers,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1603,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:46:00,draft,Government to transform frontline business inspections,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1604,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 15:49:00,draft,UK and China embark on education partnership,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1606,NewsArticle
Ministry of Defence,31/01/2012 15:49:00,draft,The Review of the Armed Forces Compensation Scheme (CM7798),Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1605,Publication
Ministry of Justice,31/01/2012 15:57:00,draft,Royal opening for the Rolls Building,Nick Cammell,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1609,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 16:34:00,draft,Do it your way: Deputy Prime Minister launches new âcity dealsâ,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1616,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 16:38:00,draft,£158 million investment in e-infrastructure to power growth and innovation,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1618,NewsArticle
Ministry of Justice,31/01/2012 16:39:00,draft,Royal seal of approval for Halton young people,"Tom Freestone, Nick Cammell",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1619,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 16:47:00,draft,A further £7.9 million Regional Growth Fund for businesses,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1620,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 16:55:00,draft,Regional mediation pilot scheme launched,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1621,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:10:00,draft,There's a Business in You,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1623,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:13:00,draft,Future of Post Office is secure,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1624,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:17:00,draft,Government action on executive pay,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1625,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:18:00,draft,There's a business in everyone,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1627,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:19:00,draft,University funding confirmed for 2012-13,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1628,NewsArticle
"Department for Business, Innovation & Skills; Department of Health",31/01/2012 17:24:00,draft,Government to seek public views on changing the law to find cures for inherited diseases,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1629,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:26:00,draft,"National Endowment for Science, Technology and the Arts to be reconstituted as a charity and charitable trust",Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1630,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:35:00,draft,Independent chair of the Royal Mail Statutory Pension Scheme appointed,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1631,NewsArticle
"Department for Business, Innovation & Skills",31/01/2012 17:37:00,draft,New chair of Capital for Enterprise Limited (CfEL),Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1632,NewsArticle
Ministry of Defence,31/01/2012 21:48:00,draft,UK-France Defence Co-operation Treaty announced,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1643,NewsArticle
Ministry of Defence,31/01/2012 21:53:00,draft,Surgeon General discusses importance of partnerships,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1644,NewsArticle
Ministry of Defence,31/01/2012 21:55:00,draft,Armed Forces Community Covenant signed in Gateshead and Preston,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1645,NewsArticle
Ministry of Defence,31/01/2012 22:20:00,draft,Second tranche of armed forces redundancies announced,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1648,NewsArticle
Ministry of Defence,31/01/2012 22:35:00,draft,Ministry of Defence pledges millions to service children's education,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1649,NewsArticle
Ministry of Defence,31/01/2012 22:50:00,draft,Community Covenant signed in Broxtowe,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1650,NewsArticle
Ministry of Defence,31/01/2012 23:00:00,draft,Defence Secretary sees Olympic security plans taking shape,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1651,NewsArticle
"Department for Business, Innovation & Skills",01/02/2012 11:57:00,draft,Higher education funding 2012 to 2013,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/1675,Speech
Ministry of Defence,01/02/2012 13:05:00,draft,"National security through technology: technology, equipment, and support for UK defence and security (Cm 8278)",Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1684,Publication
Ministry of Defence,01/02/2012 13:30:00,draft,Ministry of Defence sets out plans to ensure investment in state-of-the-art defence equipment,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1688,NewsArticle
Ministry of Defence,01/02/2012 14:36:00,draft,Royal Fleet Auxiliary Fort Victoria disembarks pirates for prosecution in the Seychelles,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1701,NewsArticle
Ministry of Defence,01/02/2012 15:07:00,draft,Afghan police and British soldiers take on insurgents,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1705,NewsArticle
"Department for Business, Innovation & Skills",01/02/2012 16:46:00,draft,BIS response to NAO report on apprenticeships,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1717,NewsArticle
"Department for Business, Innovation & Skills",02/02/2012 11:45:00,draft,Hayes launches independent review of professionalism in the further education and skills sector,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1723,NewsArticle
"Department for Business, Innovation & Skills",02/02/2012 12:03:00,draft,Patent prosecution highway with Canada opens today,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1724,NewsArticle
"Department for Business, Innovation & Skills",02/02/2012 12:13:00,draft,32 sites bid to host the Green Investment Bank,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1725,NewsArticle
Ministry of Defence,02/02/2012 15:47:00,draft,The strategy for defence,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1731,Publication
Ministry of Defence,04/02/2012 23:32:00,draft,Defence Reform - an independent report into the structure and management of the Ministry of Defence,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1762,Publication
Ministry of Defence,05/02/2012 17:21:00,draft,The Armed Forces Covenant,"Paola Wright, Sheurie Warner",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1763,Publication
"Department for Business, Innovation & Skills",06/02/2012 10:04:00,draft,Cable launches biggest ever Apprenticeship Week,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1766,NewsArticle
"Department for Business, Innovation & Skills",06/02/2012 10:32:00,draft,Norman Lamb appointed Employment Relations and Postal Affairs Minister,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1770,NewsArticle
Ministry of Defence,06/02/2012 12:12:00,draft,Combat operations in Afghanistan to continue as planned,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1774,NewsArticle
Ministry of Defence,06/02/2012 12:51:00,draft,MOD announces bidder shortlist for UK training estate contract,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1778,NewsArticle
Ministry of Defence,06/02/2012 13:00:00,draft,HMS Brocklesby rewarded for part in Libya mission,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1779,NewsArticle
"Department for Business, Innovation & Skills",06/02/2012 13:37:00,draft,Government and business press for prompt payment,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1780,NewsArticle
"Department for Business, Innovation & Skills",06/02/2012 13:52:00,draft,Challenge to find the best new British innovations launched,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1781,NewsArticle
The Charity Commission for England and Wales,06/02/2012 15:08:00,draft,"London to take control of its Olympic legacy, public land and funding",Howard Gossington,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1785,NewsArticle
Ministry of Defence,07/02/2012 14:36:00,draft,RAF snipers protect Afghan family from insurgent attack,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1795,NewsArticle
Ministry of Defence,07/02/2012 14:45:00,draft,Territorial Army medics return from Afghanistan,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1796,NewsArticle
Ministry of Defence,07/02/2012 14:54:00,draft,UK soldiers and Afghan police launch airborne operation,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1797,NewsArticle
Ministry of Defence,07/02/2012 15:04:00,draft,New Sea Ceptor missiles to be developed for Royal Navy,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1798,NewsArticle
Ministry of Defence,07/02/2012 15:15:00,draft,Locals aid Afghan and British troops in seizure of insurgent arms caches,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1800,NewsArticle
Ministry of Defence,07/02/2012 17:05:00,draft,Lance Corporal Gajbahadur Gurung killed in Afghanistan,Paola Wright,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1809,NewsArticle
"Department for Business, Innovation & Skills",08/02/2012 10:16:00,draft,Promoting public health,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/policies/1813,Policy
"Department for Business, Innovation & Skills; HM Treasury",08/02/2012 11:13:00,draft,Reforming consumer credit markets,"Suzanne Amos, Emily da Costa, Beck Thompson",https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/1817,Consultation
Department of Health,08/02/2012 11:27:00,draft,Creating a sustainable care and support system,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1819,NewsArticle
Department of Health,08/02/2012 11:41:00,draft,Caring for our future,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1821,NewsArticle
Ministry of Defence,08/02/2012 14:17:00,draft,Tour of duty changes in Helmand,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1837,NewsArticle
Ministry of Defence,08/02/2012 14:30:00,draft,British and Afghan troops take on insurgency in Gereshk,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1838,NewsArticle
Ministry of Defence,08/02/2012 14:47:00,draft,Defence Anaesthetists knocked out to win outstanding certificate of honour,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1840,NewsArticle
"Department for Business, Innovation & Skills",08/02/2012 14:54:00,draft,Banks boost UK jobs with new apprenticeships,"Suzanne Amos, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1841,NewsArticle
Ministry of Defence,08/02/2012 15:15:00,draft,Taliban leader's control weakens as infighting infects group's top ranks,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1845,NewsArticle
Ministry of Defence,08/02/2012 15:29:00,draft,UK troops trade places with US Marine Maintenance Company counterparts,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1847,NewsArticle
Ministry of Defence,08/02/2012 15:47:00,draft,Stabilisation personnel hone skills in Botswana,"Sheurie Warner, Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1849,NewsArticle
Ministry of Defence,08/02/2012 15:51:00,draft,Military prepare to protect Olympics from the air,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1850,NewsArticle
Ministry of Defence,08/02/2012 16:05:00,draft,Leave the landing light on,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1851,NewsArticle
Department of Health,09/02/2012 10:27:00,draft,No health without mental health,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1860,Publication
Department of Health,09/02/2012 10:51:00,draft,Children and teenagers to benefit from successful adult mental health therapy,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1861,NewsArticle
Department of Health,09/02/2012 11:28:00,draft,£20 million to knock down mental health stigma,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1865,NewsArticle
Department of Health,09/02/2012 11:54:00,draft,No health without mental health,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1868,NewsArticle
Ministry of Defence,09/02/2012 13:41:00,draft,YORKS soldiers on patrol in Helmand,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1876,NewsArticle
Ministry of Defence,09/02/2012 14:04:00,draft,New Afghan army Counter-IED Team demonstrates skills,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1880,NewsArticle
Department for International Development,09/02/2012 14:14:00,draft,Evaluation of General Budget Support - Uganda Country Report 1994 to 2004,"Bruce Mackay, Jeff Petts, Neil Williams",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1882,Publication
Foreign & Commonwealth Office,09/02/2012 14:59:00,draft,Europe in a changing world,Ross Ferguson,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/1887,Speech
Department for International Development,09/02/2012 15:29:00,draft,Post-conflict recovery in Northern Uganda,Ross Ferguson,https://whitehall-admin.production.alphagov.co.uk/government/admin/international-priorities/1896,InternationalPriority
Ministry of Defence,09/02/2012 15:59:00,draft,Financial top tips for service personnel,"Paola Wright, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1899,NewsArticle
Ministry of Defence,09/02/2012 17:11:00,draft,Statistical firepower in Helmand,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1904,NewsArticle
Department for International Development,09/02/2012 21:39:00,draft,Innovation and economic growth in poor countries,"Bruce Mackay, Peter Herlihy",https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/1906,Consultation
Department of Health,10/02/2012 09:54:00,draft,Andrew Lansley speaks at the Dementia Action Alliance,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/1908,Speech
Department of Health,10/02/2012 10:46:00,draft,Report on the prescribing of antipsychotic drugs to people with dementia,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1913,Publication
Department of Health,10/02/2012 11:08:00,draft,£2 million campaign launched to tackle dementia,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1914,NewsArticle
Department of Health,10/02/2012 11:14:00,draft,Living well with dementia: A National Dementia Strategy,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1915,Publication
