old_url,document_series_1
http://www.decc.gov.uk/publications/?scrape2_row=2,
http://www.decc.gov.uk/publications/?scrape2_row=3,
http://www.decc.gov.uk/publications/?scrape2_row=4,foi
http://www.decc.gov.uk/publications/?scrape2_row=5,foi
http://www.decc.gov.uk/publications/?scrape2_row=6,foi
http://www.decc.gov.uk/publications/?scrape2_row=7,foi
http://www.decc.gov.uk/publications/?scrape2_row=8,foi
http://www.decc.gov.uk/publications/?scrape2_row=9,foi
http://www.decc.gov.uk/publications/?scrape2_row=10,foi
http://www.decc.gov.uk/publications/?scrape2_row=11,foi
http://www.decc.gov.uk/publications/?scrape2_row=12,foi
http://www.decc.gov.uk/publications/?scrape2_row=13,foi
http://www.decc.gov.uk/publications/?scrape2_row=14,foi
http://www.decc.gov.uk/publications/?scrape2_row=15,foi
http://www.decc.gov.uk/publications/?scrape2_row=16,foi
http://www.decc.gov.uk/publications/?scrape2_row=17,foi
http://www.decc.gov.uk/publications/?scrape2_row=18,foi
http://www.decc.gov.uk/publications/?scrape2_row=19,foi
http://www.decc.gov.uk/publications/?scrape2_row=20,foi
http://www.decc.gov.uk/publications/?scrape2_row=21,foi
http://www.decc.gov.uk/publications/?scrape2_row=22,foi
http://www.decc.gov.uk/publications/?scrape2_row=23,foi
http://www.decc.gov.uk/publications/?scrape2_row=24,permanent-secretarys-meetings-with-external-organisations
http://www.decc.gov.uk/publications/?scrape2_row=25,business-expenses-and-hospitality-received
http://www.decc.gov.uk/publications/?scrape2_row=26,ministers-gifts-and-hospitality
http://www.decc.gov.uk/publications/?scrape2_row=27,ministers-gifts-and-hospitality
http://www.decc.gov.uk/publications/?scrape2_row=28,ministers-gifts-and-hospitality
http://www.decc.gov.uk/publications/?scrape2_row=29,ministers-gifts-and-hospitality
http://www.decc.gov.uk/publications/?scrape2_row=30,decc-displays-energy-certificates
http://www.decc.gov.uk/publications/?scrape2_row=31,decc-displays-energy-certificates
http://www.decc.gov.uk/publications/?scrape2_row=32,
http://www.decc.gov.uk/publications/?scrape2_row=33,exceptions-to-moratoria-on-spend-for-ict-consultancy-recruitment-property-consultancy-advertising-and-marketing
http://www.decc.gov.uk/publications/?scrape2_row=34,decc-senior-staff-datasets
http://www.decc.gov.uk/publications/?scrape2_row=35,decc-junior-staff-datasets
http://www.decc.gov.uk/publications/?scrape2_row=36,decc-non-consolidated-performance-related-payments
http://www.decc.gov.uk/publications/?scrape2_row=37,business-plan-quarterly-data-summaries
http://www.decc.gov.uk/publications/?scrape2_row=38,decc-workforce-management-information
http://www.decc.gov.uk/publications/?scrape2_row=39,ministers-overseas-travel
http://www.decc.gov.uk/publications/?scrape2_row=40,ministers-meeting-with-external-organisations
http://www.decc.gov.uk/publications/?scrape2_row=41,ministers-meeting-with-external-organisations
http://www.decc.gov.uk/publications/?scrape2_row=42,ministers-meeting-with-external-organisations
http://www.decc.gov.uk/publications/?scrape2_row=43,ministers-meeting-with-external-organisations
http://www.decc.gov.uk/publications/?scrape2_row=44,special-advisers-gifts-and-hospitality-received
http://www.decc.gov.uk/publications/?scrape2_row=45,departmental-spend-over-500
http://www.decc.gov.uk/publications/?scrape2_row=46,departmental-spend-over-500
http://www.decc.gov.uk/publications/?scrape2_row=47,departmental-spend-over-500
http://www.decc.gov.uk/publications/?scrape2_row=48,departmental-spend-over-500
http://www.decc.gov.uk/publications/?scrape2_row=49,gpc-departmental-spend-over-500
http://www.decc.gov.uk/publications/?scrape2_row=50,
http://www.decc.gov.uk/publications/?scrape2_row=51,
http://www.decc.gov.uk/publications/?scrape2_row=52,
http://www.decc.gov.uk/publications/?scrape2_row=53,
http://www.decc.gov.uk/publications/?scrape2_row=54,
http://www.decc.gov.uk/publications/?scrape2_row=55,
http://www.decc.gov.uk/publications/?scrape2_row=56,
http://www.decc.gov.uk/publications/?scrape2_row=57,
http://www.decc.gov.uk/publications/?scrape2_row=58,
http://www.decc.gov.uk/publications/?scrape2_row=59,
http://www.decc.gov.uk/publications/?scrape2_row=60,
http://www.decc.gov.uk/publications/?scrape2_row=61,
http://www.decc.gov.uk/publications/?scrape2_row=62,
http://www.decc.gov.uk/publications/?scrape2_row=63,
http://www.decc.gov.uk/publications/?scrape2_row=64,
http://www.decc.gov.uk/publications/?scrape2_row=65,
http://www.decc.gov.uk/publications/?scrape2_row=66,
http://www.decc.gov.uk/publications/?scrape2_row=67,
http://www.decc.gov.uk/publications/?scrape2_row=68,
http://www.decc.gov.uk/publications/?scrape2_row=69,
http://www.decc.gov.uk/publications/?scrape2_row=70,
http://www.decc.gov.uk/publications/?scrape2_row=71,
http://www.decc.gov.uk/publications/?scrape2_row=72,
http://www.decc.gov.uk/publications/?scrape2_row=73,
http://www.decc.gov.uk/publications/?scrape2_row=74,
http://www.decc.gov.uk/publications/?scrape2_row=75,
http://www.decc.gov.uk/publications/?scrape2_row=76,
http://www.decc.gov.uk/publications/?scrape2_row=77,
http://www.decc.gov.uk/publications/?scrape2_row=78,
http://www.decc.gov.uk/publications/?scrape2_row=79,
http://www.decc.gov.uk/publications/?scrape2_row=80,
http://www.decc.gov.uk/publications/?scrape2_row=81,
http://www.decc.gov.uk/publications/?scrape2_row=82,
http://www.decc.gov.uk/publications/?scrape2_row=83,
http://www.decc.gov.uk/publications/?scrape2_row=84,
http://www.decc.gov.uk/publications/?scrape2_row=85,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=86,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=87,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=88,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=89,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=90,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=91,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=92,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=93,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=94,green-deal-quick-guides
http://www.decc.gov.uk/publications/?scrape2_row=95,
http://www.decc.gov.uk/publications/?scrape2_row=96,
http://www.decc.gov.uk/publications/?scrape2_row=97,
http://www.decc.gov.uk/publications/?scrape2_row=98,
http://www.decc.gov.uk/publications/?scrape2_row=99,
http://www.decc.gov.uk/publications/?scrape2_row=100,
http://www.decc.gov.uk/publications/?scrape2_row=101,
http://www.decc.gov.uk/publications/?scrape2_row=102,
http://www.decc.gov.uk/publications/?scrape2_row=103,
http://www.decc.gov.uk/publications/?scrape2_row=104,
http://www.decc.gov.uk/publications/?scrape2_row=105,
http://www.decc.gov.uk/publications/?scrape2_row=106,
