policies_to_remove,policies_to_add,slug
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,review-of-2013-to-2014-school-funding-arrangements
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,school-funding-reform-findings-from-the-review-of-2013-to-2014-arrangements-and-changes-for-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,run-down-schools-in-england-get-160-million-facelift
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,education-funding-announcements-for-the-financial-year-2013-to-2014
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,fair-funding-for-all-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,school-funding-research-priorities-and-questions
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,capital-funding-for-schools-research-priorities-and-questions
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,lord-hill-to-the-national-governors-association-conference
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,school-funding-for-2016-to-2017
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,david-laws-oral-statement-on-minimum-funding-levels
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,david-laws-written-ministerial-statement-on-school-funding-reforms
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,schools-block-funding-allocations-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,local-authority-benchmarking-tables-2014-to-2015
