policies_to_remove,policies_to_add,slug
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934 17e4ab26-ee1f-4383-a345-d165c0b75fbf,academies-finance-and-assurance-steering-group-minutes-july-2013
5e11d7d1-7631-11e4-a3cb-005056011aef,,academies-financial-notices-to-improve
5e11d7d1-7631-11e4-a3cb-005056011aef,,academies-financial-management-and-governance-reviews
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,national-pupil-database
5e11d7d1-7631-11e4-a3cb-005056011aef,,changes-to-the-school-admissions-code
5e11d7d1-7631-11e4-a3cb-005056011aef,,trade-union-facility-time-in-schools-review
5e11d7d1-7631-11e4-a3cb-005056011aef,,efa-investigation-publishing-policy
5e11d7d1-7631-11e4-a3cb-005056011aef,,academies-admissions-appeals-review-2013
5e11d7d1-7631-11e4-a3cb-005056011aef,,department-for-education-consolidated-annual-report-and-accounts-2011-12
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-funding-reform-arrangements-for-2013-to-2014
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-funding-reform-next-steps-towards-a-fairer-system
5e11d7d1-7631-11e4-a3cb-005056011aef,,academy-funding-2016-to-2017-letter-to-academies
5e11d7d1-7631-11e4-a3cb-005056011aef,,letter-from-lord-nash-to-all-chairs-of-governors
5e11d7d1-7631-11e4-a3cb-005056011aef,,letter-to-academy-trust-accounting-officers
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-exemplar-letters
5e11d7d1-7631-11e4-a3cb-005056011aef,,letter-to-academy-trusts-funding-updates-for-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,,lord-nash-and-matthew-hancock-write-to-barnfield-federation
5e11d7d1-7631-11e4-a3cb-005056011aef,,michael-gove-asks-local-authorities-and-academy-sponsors-for-school-improvement-proposals
5e11d7d1-7631-11e4-a3cb-005056011aef,,authority-proforma-tool-apt-information-for-local-authorities
5e11d7d1-7631-11e4-a3cb-005056011aef,,updating-academy-trust-governance-contacts
5e11d7d1-7631-11e4-a3cb-005056011aef,,efficiency-toolkit-for-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,consistent-financial-reporting-framework-cfr
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-financial-value-standard-and-assurance-sfvs
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-forum-a-guide-for-schools-and-academies
5e11d7d1-7631-11e4-a3cb-005056011aef,,16-to-25-young-people-with-high-needs-funding-principles-for-2015-to-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-enrolment-rates
5e11d7d1-7631-11e4-a3cb-005056011aef,,national-pupil-database-agreement-and-individual-declaration
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-ict-exemplar-expression-of-interest-form
5e11d7d1-7631-11e4-a3cb-005056011aef,,national-pupil-database-application-form-declaration-and-agreement
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-for-schools-model-ict-services-contracts
5e11d7d1-7631-11e4-a3cb-005056011aef,,michael-gove-responds-to-durham-university-report-on-university-admissions
5e11d7d1-7631-11e4-a3cb-005056011aef,,national-pupil-database-user-guide-and-supporting-information
5e11d7d1-7631-11e4-a3cb-005056011aef,,16-to-19-bursary-fund-audit-guide
5e11d7d1-7631-11e4-a3cb-005056011aef,,risk-protection-arrangement-rpa-for-academy-trusts-membership-rules
5e11d7d1-7631-11e4-a3cb-005056011aef,,education-services-grant-2015-to-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-funding-arrangements-2016-to-2017
5e11d7d1-7631-11e4-a3cb-005056011aef,,dedicated-schools-grant-dsg-2015-to-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,,section-251-outturn-2014-to-2015-guidance-for-local-authorities
5e11d7d1-7631-11e4-a3cb-005056011aef,,academies-accounts-returns-validation-tests
5e11d7d1-7631-11e4-a3cb-005056011aef,,dedicated-schools-grant-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,,advice-for-effective-buying-for-your-school
5e11d7d1-7631-11e4-a3cb-005056011aef,,consistent-financial-reporting-framework-cfr-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-forums-operational-and-good-practice-guide-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,,education-services-grant-2014-to-2015
5e11d7d1-7631-11e4-a3cb-005056011aef,,fairer-schools-funding-arrangements-for-2015-to-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,,schools-block-funding-formulae-2015-to-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,,trade-union-facility-time-in-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,,academy-financial-management-and-governance-self-assessment-guidance
5e11d7d1-7631-11e4-a3cb-005056011aef,,dfe-project-management-and-educational-services-framework-free-schools-guide
5e11d7d1-7631-11e4-a3cb-005056011aef,,governors-handbook--3
5e11d7d1-7631-11e4-a3cb-005056011aef,,funding-guidance-for-young-people-sub-contracting-controls
5e11d7d1-7631-11e4-a3cb-005056011aef,,buying-ict-for-your-school
5e11d7d1-7631-11e4-a3cb-005056011aef,,charging-for-school-activities
5e11d7d1-7631-11e4-a3cb-005056011aef,,school-complaints-procedure
5e11d7d1-7631-11e4-a3cb-005056011aef,,section-251-outturn-2013-to-2014-guidance-for-local-authorities
