old_slug,new_slug,locale
/world/organisations/department-for-international-trade-libya,/world/organisations/department-for-business-and-trade-libya,en
/world/organisations/department-for-international-trade-china.zh,/world/organisations/department-for-business-and-trade-china.zh,zh
/government/world/organisations/department-for-international-trade-argentina,/government/world/organisations/department-for-business-and-trade-argentina,en
/government/world/organisations/department-for-international-trade-argentina.es-419,government/world/organisations/department-for-business-and-trade-argentina.es-419,es-419
/government/world/organisations/department-for-international-trade-argentina/about,/government/world/organisations/department-for-business-and-trade-argentina/about,en
/government/world/organisations/department-for-international-trade-argentina/about.es-419,/government/world/organisations/department-for-business-and-trade-argentina/about.es-419,es-419
/government/world/organisations/department-for-international-trade-belgium,/government/world/organisations/department-for-business-and-trade-belgium,en
/government/world/organisations/department-for-international-trade-belgium/about,/government/world/organisations/department-for-business-and-trade-belgium/about,en
/government/world/organisations//government/world/organisations/department-for-international-trade-brazil,/government/world/organisations/department-for-business-and-trade-brazil,en
/government/world/organisations/department-for-international-trade-brazil/about,/government/world/organisations/department-for-business-and-trade-brazil/about,en
/government/world/organisations/department-for-international-trade-brazil/about.pt,/government/world/organisations/department-for-business-and-trade-brazil/about.pt,pt
/government/world/organisations/department-for-international-trade-brazil/about/personal-information-charter,/government/world/organisations/department-for-business-and-trade-brazil/about/personal-information-charter,en
/government/world/organisations/department-for-international-trade-canada,/government/world/organisations/department-for-business-and-trade-canada,en
/government/world/organisations/department-for-international-trade-canada/about,/government/world/organisations/department-for-business-and-trade-canada/about,en
/government/world/organisations/department-for-international-trade-china,/government/world/organisations/department-for-business-and-trade-china,en
/government/world/organisations/department-for-international-trade-china.zh,/government/world/organisations/department-for-business-and-trade-china.zh,zh
/government/world/organisations/department-for-international-trade-china/about,/government/world/organisations/department-for-business-and-trade-china/about,en
/government/world/organisations/department-for-international-trade-china/about.zh,/government/world/organisations/department-for-business-and-trade-china/about.zh,zh
/government/world/organisations/department-for-international-trade-france,/government/world/organisations/department-for-business-and-trade-france,en
/government/world/organisations/department-for-international-trade-france.fr,/government/world/organisations/department-for-business-and-trade-france.fr,fr
/government/world/organisations/department-for-international-trade-france/about,/government/world/organisations/department-for-business-and-trade-france/about,en
/government/world/organisations/department-for-international-trade-france/about.fr,/government/world/organisations/department-for-business-and-trade-france/about.fr,fr
/government/world/organisations/department-for-international-trade-germany,/government/world/organisations/department-for-business-and-trade-germany,en
/government/world/organisations/department-for-international-trade-germany/about,/government/world/organisations/department-for-business-and-trade-germany/about,en
/government/world/organisations/department-for-international-trade-hong-kong,/government/world/organisations/department-for-business-and-trade-hong-kong,en
/government/world/organisations/department-for-international-trade-hong-kong/about,/government/world/organisations/department-for-business-and-trade-hong-kong/about,en
/government/world/organisations/department-for-international-trade-hungary,/government/world/organisations/department-for-business-and-trade-hungary,en
/government/world/organisations/department-for-international-trade-hungary/about,/government/world/organisations/department-for-business-and-trade-hungary/about,en
/government/world/organisations/department-for-international-trade-hungary/about/staff-update,/government/world/organisations/department-for-business-and-trade-hungary/about/staff-update,en
/government/world/organisations/department-for-international-trade-in-the-usa,/government/world/organisations/department-for-business-and-trade-in-the-usa,en
/government/world/organisations/department-for-international-trade-in-the-usa/about,/government/world/organisations/department-for-business-and-trade-in-the-usa/about,en
/government/world/organisations/department-for-international-trade-india,/government/world/organisations/department-for-business-and-trade-india,en
/government/world/organisations/department-for-international-trade-india.hi,/government/world/organisations/department-for-business-and-trade-india.hi,hi
/government/world/organisations/department-for-international-trade-india/about,/government/world/organisations/department-for-business-and-trade-india/about,en
/government/world/organisations/department-for-international-trade-india/about.hi,/government/world/organisations/department-for-business-and-trade-india/about.hi,hi
/government/world/organisations/department-for-international-trade-indonesia,/government/world/organisations/department-for-business-and-trade-indonesia,en
