Edition ID,Primary detailed guidance category,Detailed guidance category 1,Detailed guidance category 2,,,,,
6973,Import and export controls,,,,,,,
4052,Farm management and finance,Farming and the environment,,,,,,
6836,Guidance for tax advisers and agents,,,,,,,
6830,Guidance for tax advisers and agents,,,,,,,
6944,Environmental regulations,Manufacturing regulations,,,,,,
6831,Guidance for tax advisers and agents,,,,,,,
6825,Import and export of manufactured goods,,,,,,,
4056,Crops and horticulture,,,,,,,
4048,Farm management and finance,,,,,,,
4047,Farm management and finance,,,,,,,
4054,Farm management and finance,,,,,,,
4875,Excise duty,,,,,,,
4038,Excise duty,,,,,,,
4130,Livestock,,,,,,,
4621,Import and export procedures,Farm management and finance,,,,,,
6951,Import and export controls,,,,,,,
6669,Maritime and freshwater businesses,,,,,,,
3801,Import and export procedures,,,,,,,
4908,Embargoes and sanctions,,,,,,,
4909,Embargoes and sanctions,,,,,,,
4854,Embargoes and sanctions,,,,,,,
3805,Embargoes and sanctions,,,,,,,
3806,Embargoes and sanctions,,,,,,,
6810,Embargoes and sanctions,,,,,,,
4953,Embargoes and sanctions,,,,,,,
4827,Embargoes and sanctions,,,,,,,
4927,Embargoes and sanctions,,,,,,,
4934,Embargoes and sanctions,,,,,,,
4941,Embargoes and sanctions,,,,,,,
3814,Embargoes and sanctions,,,,,,,
6813,Embargoes and sanctions,,,,,,,
4937,Embargoes and sanctions,,,,,,,
4850,Embargoes and sanctions,,,,,,,
3813,Embargoes and sanctions,,,,,,,
3818,Embargoes and sanctions,,,,,,,
4936,Embargoes and sanctions,,,,,,,
3820,Import and export controls,,,,,,,
6759,Import and export procedures,,,,,,,
6626,Manufacturing regulations,,,,,,,
3920,Import and export procedures,,,,,,,
4954,Import and export procedures,,,,,,,
3823,Import and export procedures,,,,,,,
6824,Import and export of manufactured goods,,,,,,,
4080,Farming and the environment,Environmental regulations,Grants and payments for farmers,,,,,
3825,Transporting goods,,,,,,,
4145,Farming and the environment,Environmental regulations,,,,,,
6740,Import and export controls,,,,,,,
4949,Import and export of manufactured goods,,,,,,,
3827,Import and export controls,,,,,,,
6822,Import and export procedures,,,,,,,
4078,Farming and the environment,,,,,,,
6737,Livestock,Grants and payments for farmers,,,,,,
4127,Livestock,,,,,,,
6934,Livestock,Grants and payments for farmers,,,,,,
6670,Maritime and freshwater businesses,,,,,,,
4761,Import and export procedures,,,,,,,
4863,Import and export procedures,,,,,,,
4812,Import and export controls,,,,,,,
6790,Classification of goods,,,,,,,
3831,Classification of goods,,,,,,,
6780,Classification of goods,,,,,,,
6754,Classification of goods,,,,,,,
4951,Classification of goods,,,,,,,
6906,Classification of goods,,,,,,,
6788,Classification of goods,,,,,,,
4957,Classification of goods,,,,,,,
4956,Classification of goods,,,,,,,
6909,Classification of goods,,,,,,,
6777,Classification of goods,,,,,,,
6936,Classification of goods,,,,,,,
6937,Classification of goods,,,,,,,
6903,Classification of goods,,,,,,,
6923,Classification of goods,,,,,,,
4896,Classification of goods,,,,,,,
4895,Classification of goods,,,,,,,
6864,Classification of goods,,,,,,,
6956,Classification of goods,,,,,,,
4889,Classification of goods,,,,,,,
6783,Classification of goods,,,,,,,
6908,Classification of goods,,,,,,,
6907,Classification of goods,,,,,,,
6804,Import and export of manufactured goods,,,,,,,
4131,Crops and horticulture,Grants and payments for farmers,,,,,,
3854,Import and export controls,,,,,,,TB
6691,Environmental regulations,Maritime and freshwater businesses,,,,,,TB
6690,Maritime and freshwater businesses,Environmental regulations,,,,,,TB
6635,Chemical licensing,,,,,,,TB
4153,Livestock,Farming and the environment,,,,,,TB
3855,Import and export procedures,Embargoes and sanctions,,,,,,TB
3856,Import and export controls,Embargoes and sanctions,,,,,,TB
6962,Import and export controls,Embargoes and sanctions,,,,,,TB
6756,Organic farming,,,,,,,TB
6835,Tax guidance for employers,,,,,,,TB
4566,Import and export procedures,,,,,,,TB
6897,Grants and payments for farmers,Farm management and finance,,,,,,TB
3859,Import and export controls,,,,,,,TB
4928,Embargoes and sanctions,,,,,,,TB
4932,Tax and legislation for corporations,,,,,,,TB
3863,Tax and legislation for corporations,Transporting goods,,,,,,TB
3864,Tax guidance for employers,,,,,,,TB
6716,Import and export procedures,,,,,,,TB
4066,Farm management and finance,Livestock,,,,,,TB
6688,Maritime and freshwater businesses,,,,,,,TB
6942,Livestock,Farm management and finance,,,,,,TB
4631,Import and export procedures,,,,,,,TB
6834,Guidance for tax advisers and agents,,,,,,,TB
6729,Livestock,Farm management and finance,,,,,,TB
4095,Farm management and finance,Environmental regulations,Farming and the environment,,,,,TB
4144,Crops and horticulture,Environmental regulations,Farming and the environment,,,,,TB
4151,Farm management and finance,Livestock,,,,,,TB
4152,Livestock,Grants and payments for farmers,,,,,,TB
3868,Transporting goods,Import and export procedures,Excise duty,,,,,TB
6694,Maritime and freshwater businesses,,,,,,,TB
3869,Manufacturing regulations,,,,,,,TB
4058,Farm management and finance,,,,,,,TB
6771,Import and export procedures,,,,,,,TB
3871,Guidance for tax advisers and agents,,,,,,,TB
3872,Transporting goods,,,,,,,TB
3873,Transporting goods,,,,,,,TB
3874,Import and export controls,,,,,,,TB
6753,Import and export procedures,,,,,,,TB
6789,Import and export procedures,,,,,,,TB
6945,Environmental regulations,,,,,,,TB
6947,Environmental regulations,,,,,,,TB
6946,Environmental regulations,,,,,,,TB
6801,Manufacturing regulations,,,,,,,TB
6672,Maritime and freshwater businesses,,,,,,,TB
4843,Import and export controls,,,,,,,TB
4057,Farm management and finance,,,,,,,TB
6748,Import and export controls,Import and export procedures,,,,,,TB
6911,Import and export controls,Import and export procedures,,,,,,TB
3881,Import and export of manufactured goods,Import and export procedures,,,,,,TB
4089,Farming and the environment,,,,,,,TB
6809,Environmental regulations,Manufacturing regulations,,,,,,TB
3883,Transporting goods,,,,,,,TB
4071,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,TB
4092,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,TB
6948,Environmental regulations,Manufacturing regulations,,,,,,TB
6799,Environmental regulations,,,,,,,TB
6814,Environmental regulations,,,,,,,TB
4046,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,TB
3884,Transporting goods,,,,,,,TB
6935,Maritime and freshwater businesses,,,,,,,TB
6675,Maritime and freshwater businesses,Environmental regulations,,,,,,TB
6952,Maritime and freshwater businesses,,,,,,,
6674,Maritime and freshwater businesses,,,,,,,
4841,Import and export controls,,,,,,,
4040,Excise duty,,,,,,,
6771,Import and export controls,,,,,,,
3887,Import and export controls,,,,,,,
4844,Import and export controls,,,,,,,
4840,Import and export controls,,,,,,,
3890,Import and export controls,,,,,,,
4005,Import and export controls,Embargoes and sanctions,,,,,,
6787,Import and export procedures,,,,,,,
3893,Import and export controls,,,,,,,
3894,Import and export controls,,,,,,,
6972,Import and export controls,Embargoes and sanctions,,,,,,
4847,Import and export controls,,,,,,,
6821,Import and export controls,Embargoes and sanctions,,,,,,
6765,Import and export procedures,Import and export controls,,,,,,
3898,Import and export controls,,,,,,,
6762,Import and export controls,,,,,,,
3892,Embargoes and sanctions,,,,,,,
3901,Import and export controls,,,,,,,
6730,Livestock,Environmental regulations,,,,,,
6828,Import and export controls,,,,,,,
6819,Import and export controls,,,,,,,
6733,Import and export controls,,,,,,,
6719,Livestock,,,,,,,
4042,Farm management and finance,,,,,,,
4102,Farming and the environment,Environmental regulations,Farm management and finance,,,,,
4043,Farm management and finance,,,,,,,
4140,Crops and horticulture,Environmental regulations,,,,,,
4060,Farm management and finance,,,,,,,
6731,Livestock,,,,,,,
4096,Farming and the environment,Environmental regulations,,,,,,
4084,Crops and horticulture,Environmental regulations,,,,,,
3905,Import and export controls,,,,,,,
6841,Tax and legislation for corporations,Environmental regulations,,,,,,
6847,Tax and legislation for corporations,Environmental regulations,,,,,,
6704,Maritime and freshwater businesses,Environmental regulations,,,,,,
6668,Maritime and freshwater businesses,,,,,,,
6684,Maritime and freshwater businesses,Environmental regulations,,,,,,
6669,Maritime and freshwater businesses,Environmental regulations,,,,,,
6665,Maritime and freshwater businesses,Environmental regulations,,,,,,
6881,Maritime and freshwater businesses,,,,,,,
6815,Manufacturing regulations,,,,,,,
6883,Classification of goods,Import and export of manufactured goods,,,,,,
6616,Livestock,,,,,,,
3907,Transporting goods,,,,,,,
3908,Transporting goods,,,,,,,
6839,Tax guidance for employers,,,,,,,
3909,Import and export procedures,,,,,,,
3910,Import and export procedures,,,,,,,
3911,Transporting goods,,,,,,,
3912,Transporting goods,,,,,,,
4036,Excise duty,,,,,,,
4134,Grants and payments for farmers,,,,,,,
6693,Environmental regulations,Maritime and freshwater businesses,,,,,,
4039,Excise duty,,,,,,,
4055,Excise duty,,,,,,,
6659,Manufacturing regulations,,,,,,,
4050,Farm management and finance,,,,,,,
6955,Guidance for tax advisers and agents,,,,,,,
6844,Guidance for tax advisers and agents,,,,,,,
6852,Guidance for tax advisers and agents,,,,,,,
3913,Import and export procedures,,,,,,,
6763,Import and export controls,,,,,,,
6893,Import and export of manufactured goods,,,,,,,
3915,Import and export controls,,,,,,,
3916,Import and export of manufactured goods,,,,,,,
4091,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,
4133,Crops and horticulture,,,,,,,
6680,Environmental regulations,Maritime and freshwater businesses,,,,,,
6629,Manufacturing regulations,Environmental regulations,Chemical licensing,,,,,
4077,Farming and the environment,Environmental regulations,,,,,,
4097,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,
3917,Import and export procedures,,,,,,,
6662,Maritime and freshwater businesses,,,,,,,
4072,Grants and payments for farmers,Farming and the environment,,,,,,
4099,Grants and payments for farmers,Farming and the environment,,,,,,
4906,Import and export procedures,,,,,,,
6892,Import and export of manufactured goods,,,,,,,
6838,Guidance for tax advisers and agents,,,,,,,
4958,Import and export procedures,,,,,,,
6695,Environmental regulations,Maritime and freshwater businesses,,,,,,
6832,Import and export procedures,,,,,,,
6851,Guidance for tax advisers and agents,,,,,,,
6850,Guidance for tax advisers and agents,,,,,,,
6849,Guidance for tax advisers and agents,,,,,,,
3925,Import and export procedures,,,,,,,
6683,Environmental regulations,Maritime and freshwater businesses,,,,,,
4935,Import and export controls,,,,,,,
4891,Import and export controls,,,,,,,
4930,Transporting goods,Import and export procedures,,,,,,
4912,Import and export of manufactured goods,,,,,,,
4900,Import and export procedures,,,,,,,
6781,Import and export of manufactured goods,,,,,,,
4688,Import and export controls,,,,,,,
6757,Import and export procedures,,,,,,,
6697,Import and export controls,,,,,,,
4950,Import and export controls,,,,,,,
4142,Crops and horticulture,Grants and payments for farmers,,,,,,
4135,Crops and horticulture,Grants and payments for farmers,,,,,,
6685,Maritime and freshwater businesses,,,,,,,
3932,Transporting goods,,,,,,,
3933,Transporting goods,,,,,,,
3934,Import and export of manufactured goods,,,,,,,
4926,Import and export of manufactured goods,,,,,,,
4915,Transporting goods,,,,,,,
4943,Import and export procedures,,,,,,,
4064,Grants and payments for farmers,Farm management and finance,,,,,,
4065,Grants and payments for farmers,Farm management and finance,,,,,,
6827,Import and export controls,,,,,,,
3940,Import and export procedures,,,,,,,
4945,Import and export procedures,,,,,,,
6858,Import and export procedures,,,,,,,
6928,Import and export procedures,,,,,,,
3942,Import and export procedures,,,,,,,
4903,Import and export procedures,,,,,,,
6861,Maritime and freshwater businesses,,,,,,,
6673,Maritime and freshwater businesses,,,,,,,
6713,Import and export procedures,,,,,,,
6744,Import and export controls,Embargoes and sanctions,,,,,,
3947,Import and export procedures,,,,,,,
4059,Livestock,,,,,,,
4154,Livestock,Grants and payments for farmers,,,,,,
4061,Livestock,Crops and horticulture,,,,,,
6794,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,
4074,Farming and the environment,Environmental regulations,Grants and payments for farmers,,,,,
6725,Livestock,Grants and payments for farmers,,,,,,
6818,Import and export procedures,,,,,,,
3904,Import and export controls,,,,,,,
3949,Import and export controls,,,,,,,
6625,Manufacturing regulations,,,,,,,
6717,Farm management and finance,Livestock,,,,,,
6776,Transporting goods,Import and export procedures,,,,,,
4053,Farming and the environment,Environmental regulations,,,,,,
6871,Manufacturing regulations,,,,,,,
6829,Guidance for tax advisers and agents,,,,,,,
4103,Farming and the environment,Environmental regulations,Grants and payments for farmers,,,,,
6735,Livestock,,,,,,,
4083,Farming and the environment,Environmental regulations,Grants and payments for farmers,,,,,
4075,Farming and the environment,Environmental regulations,Grants and payments for farmers,,,,,
6615,Grants and payments for farmers,Crops and horticulture,Farming and the environment,,,,,
4107,Farming and the environment,Environmental regulations,,,,,,
6872,Manufacturing regulations,,,,,,,
6686,Maritime and freshwater businesses,Environmental regulations,,,,,,
6681,Maritime and freshwater businesses,,,,,,,
6664,Maritime and freshwater businesses,,,,,,,
4864,Import and export procedures,,,,,,,
6709,Import and export controls,,,,,,,
6879,Import and export controls,,,,,,,
6793,Farming and the environment,Environmental regulations,Grants and payments for farmers,,,,,
3961,Import and export controls,,,,,,,
6786,Livestock,Environmental regulations,,,,,,
3962,Transporting goods,Environmental regulations,,,,,,
6698,Maritime and freshwater businesses,Environmental regulations,,,,,,
3967,Transporting goods,,,,,,,
6926,Import and export procedures,,,,,,,
4137,Crops and horticulture,Environmental regulations,,,,,,
6620,Manufacturing regulations,,,,,,,
6624,Manufacturing regulations,,,,,,,
6621,Manufacturing regulations,,,,,,,
4087,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,
4881,Farming and the environment,Environmental regulations,,,,,,
6701,Environmental regulations,Maritime and freshwater businesses,,,,,,
6915,Environmental regulations,Maritime and freshwater businesses,,,,,,
6692,Maritime and freshwater businesses,Environmental regulations,,,,,,
6696,Maritime and freshwater businesses,Environmental regulations,,,,,,
6760,Import and export of manufactured goods,Manufacturing regulations,,,,,,
6845,Guidance for tax advisers and agents,,,,,,,
6949,Import and export controls,,,,,,,
6910,Import and export controls,,,,,,,
4860,Import and export controls,,,,,,,
6854,Transporting goods,,,,,,,
6895,Organic farming,,,,,,,
4067,Organic farming,,,,,,,
6925,Organic farming,Import and export procedures,Farm management and finance,,,,,
6924,Organic farming,,,,,,,
3973,Import and export procedures,,,,,,,
6791,Import and export procedures,,,,,,,
6779,Import and export controls,Livestock,Import and export procedures,,,,,
3976,Import and export controls,,,,,,,
4093,Farm management and finance,Farming and the environment,,,,,,
6950,Import and export of manufactured goods,,,,,,,
6682,Maritime and freshwater businesses,Environmental regulations,,,,,,
4146,Crops and horticulture,,,,,,,
4143,Crops and horticulture,,,,,,,
4933,Livestock,Farm management and finance,,,,,,
6859,Livestock,Farm management and finance,,,,,,
4128,Livestock,Farm management and finance,,,,,,
4138,Crops and horticulture,,,,,,,
4062,Crops and horticulture,Grants and payments for farmers,,,,,,
4141,Crops and horticulture,Grants and payments for farmers,,,,,,
6736,Livestock,Grants and payments for farmers,,,,,,
6785,Livestock,Grants and payments for farmers,,,,,,
6739,Livestock,Grants and payments for farmers,,,,,,
4108,Livestock,Grants and payments for farmers,,,,,,
6778,Import and export procedures,,,,,,,
6646,Manufacturing regulations,,,,,,,
6687,Environmental regulations,Maritime and freshwater businesses,,,,,,
6631,Environmental regulations,Manufacturing regulations,,,,,,
6650,Environmental regulations,Manufacturing regulations,,,,,,
6655,Environmental regulations,Manufacturing regulations,,,,,,
6715,Import and export procedures,,,,,,,
4079,Farming and the environment,Environmental regulations,,,,,,
6702,Maritime and freshwater businesses,Environmental regulations,,,,,,
4094,Farm management and finance,,,,,,,
6642,Manufacturing regulations,,,,,,,
6842,Tax guidance for employers,,,,,,,
4588,Import and export procedures,,,,,,,
6652,Manufacturing regulations,,,,,,,
6657,Manufacturing regulations,Environmental regulations,,,,,,
4081,Farming and the environment,Environmental regulations,,,,,,
4938,Transporting goods,,,,,,,
4901,Transporting goods,,,,,,,
4049,Farm management and finance,,,,,,,
6630,Manufacturing regulations,,,,,,,
4746,Import and export controls,,,,,,,
6764,Transporting goods,Import and export procedures,,,,,,
6639,Manufacturing regulations,,,,,,,
6869,Import and export procedures,,,,,,,
6960,Grants and payments for farmers,Farming and the environment,,,,,,
4739,Embargoes and sanctions,,,,,,,
3984,Embargoes and sanctions,,,,,,,
4835,Embargoes and sanctions,,,,,,,
6705,Maritime and freshwater businesses,,,,,,,
6922,Maritime and freshwater businesses,Environmental regulations,,,,,,
6853,Transporting goods,,,,,,,
6855,Maritime and freshwater businesses,,,,,,,
6727,Livestock,Grants and payments for farmers,,,,,,
4129,Livestock,Grants and payments for farmers,,,,,,
6699,Maritime and freshwater businesses,Environmental regulations,,,,,,
4879,Environmental regulations,,,,,,,
4082,Grants and payments for farmers,Environmental regulations,,,,,,
6896,Import and export controls,Import and export procedures,Import and export of manufactured goods,,,,,
6667,Maritime and freshwater businesses,Manufacturing regulations,,,,,,
3988,Import and export controls,,,,,,,
6873,Maritime and freshwater businesses,Manufacturing regulations,,,,,,
6953,Maritime and freshwater businesses,Manufacturing regulations,,,,,,
4069,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,
4068,Grants and payments for farmers,Environmental regulations,Farming and the environment,,,,,
6741,Import and export controls,Import and export of manufactured goods,,,,,,
6751,Import and export controls,,,,,,,
4132,Crops and horticulture,,,,,,,
4911,Import and export procedures,,,,,,,
4914,Import and export procedures,,,,,,,
3992,Import and export procedures,,,,,,,
4898,Import and export controls,,,,,,,
4088,Farm management and finance,Farming and the environment,,,,,,
6782,Transporting goods,,,,,,,
4925,Import and export of manufactured goods,,,,,,,
6752,Import and export procedures,,,,,,,
4899,Import and export procedures,,,,,,,
4902,Import and export procedures,,,,,,,
4674,Import and export of manufactured goods,,,,,,,
6678,Maritime and freshwater businesses,,,,,,,
4000,Transporting goods,,,,,,,
4931,Import and export procedures,,,,,,,
6820,Crops and horticulture,Farming and the environment,,,,,,
4139,Grants and payments for farmers,,,,,,,
6966,Grants and payments for farmers,,,,,,,
4939,Import and export of manufactured goods,,,,,,,
4037,Excise duty,,,,,,,
6666,Manufacturing regulations,,,,,,,
6636,Manufacturing regulations,,,,,,,
4002,Import and export controls,,,,,,,
4858,Import and export controls,,,,,,,
4004,Transporting goods,,,,,,,
4006,Transporting goods,,,,,,,
6905,Import and export procedures,,,,,,,
4008,Import and export controls,,,,,,,
3938,Transporting goods,,,,,,,
6750,Transporting goods,,,,,,,
4010,Transporting goods,,,,,,,
4011,Transporting goods,,,,,,,
6891,Import and export of manufactured goods,,,,,,,
4090,Farming and the environment,Environmental regulations,,,,,,
4013,Import and export of manufactured goods,,,,,,,
6900,Import and export controls,,,,,,,
6877,Import and export controls,,,,,,,
6837,Guidance for tax advisers and agents,,,,,,,
4073,Grants and payments for farmers,Farm management and finance,,,,,,
4051,Farm management and finance,,,,,,,
6767,Import and export controls,,,,,,,
6775,Import and export of manufactured goods,Transporting goods,,,,,,
6846,Guidance for tax advisers and agents,,,,,,,
4018,Import and export procedures,Import and export controls,,,,,,
4947,Import and export controls,Livestock,,,,,,
6848,Guidance for tax advisers and agents,,,,,,,
4021,Transporting goods,,,,,,,
4155,Farm management and finance,,,,,,,
6644,Manufacturing regulations,Environmental regulations,,,,,,
6649,Manufacturing regulations,Environmental regulations,,,,,,
6654,Manufacturing regulations,Environmental regulations,,,,,,
6632,Manufacturing regulations,Environmental regulations,,,,,,
6638,Manufacturing regulations,Environmental regulations,,,,,,
6840,Environmental regulations,,,,,,,
4086,Farming and the environment,Environmental regulations,,,,,,
6634,Manufacturing regulations,,,,,,,
6745,Import and export of manufactured goods,,,,,,,
4100,Farming and the environment,Environmental regulations,,,,,,
6622,Manufacturing regulations,,,,,,,
6623,Manufacturing regulations,,,,,,,
4919,Livestock,,,,,,,
4876,Farming and the environment,Environmental regulations,,,,,,
4104,Farming and the environment,Environmental regulations,,,,,,
4105,Farming and the environment,,,,,,,
6833,Guidance for tax advisers and agents,,,,,,,
6689,Maritime and freshwater businesses,,,,,,,
