base_path,status,document_id,edition_id,locale,content_store,errors
/guidance/inward-processing,200,2341,643965,en,content-store,related_guides should contain '5c71c409-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/getting-the-right-licences-for-international-trading,200,2346,581532,en,draft-content-store,details body doesn't match
/guidance/getting-the-right-licences-for-international-trading,200,2346,581532,en,content-store,details body doesn't match
/guidance/biotechnology-and-pharmaceuticals-sector-import-and-export-regulations,200,2347,614860,en,draft-content-store,details body doesn't match
/guidance/biotechnology-and-pharmaceuticals-sector-import-and-export-regulations,200,2347,614860,en,content-store,details body doesn't match
/guidance/clothing-footwear-and-fashion,200,2348,635734,en,draft-content-store,details body doesn't match
/guidance/clothing-footwear-and-fashion,200,2348,635734,en,content-store,details body doesn't match
/guidance/metals-and-minerals,200,2354,150838,en,draft-content-store,details body doesn't match
/guidance/military-end-use-control-guidance-notes,200,2355,16332,en,content-store,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/military-goods-ogels,200,2356,615387,en,draft-content-store,details body doesn't match
/guidance/military-goods-ogels,200,2356,615387,en,content-store,details body doesn't match
/guidance/mod-f680-applications,200,2357,577813,en,draft-content-store,details body doesn't match
/guidance/mod-f680-applications,200,2357,577813,en,content-store,details body doesn't match
/guidance/national-clearance-hub-for-goods-entering-leaving-or-transiting-the-eu,200,2364,648577,en,draft-content-store,details body doesn't match
/guidance/national-clearance-hub-for-goods-entering-leaving-or-transiting-the-eu,200,2364,648577,en,content-store,details body doesn't match
/guidance/import-controls-on-offensive-weapons,200,2365,526712,en,content-store,related_guides should contain '5c71704f-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c719462-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c71961a-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/open-general-trade-control-licences,200,2367,532625,en,draft-content-store,details body doesn't match
/guidance/open-general-trade-control-licences,200,2367,532625,en,content-store,details body doesn't match
/guidance/open-individual-export-licences,200,2368,460732,en,draft-content-store,details body doesn't match
/guidance/open-individual-export-licences,200,2368,460732,en,content-store,details body doesn't match
/guidance/other-types-of-open-general-export-licence,200,2369,516049,en,draft-content-store,details body doesn't match
/guidance/other-types-of-open-general-export-licence,200,2369,516049,en,content-store,details body doesn't match
/guidance/outward-processing-relief-opr,200,2370,597118,en,content-store,related_guides should contain '5c71c409-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/overseas-veterinary-certificates-and-border-inspection-posts,200,2371,653651,en,draft-content-store,details body doesn't match
/guidance/overseas-veterinary-certificates-and-border-inspection-posts,200,2371,653651,en,content-store,details body doesn't match
/guidance/overview-of-export-control-legislation,200,2372,538450,en,content-store,related_guides should contain '5c7189be-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/processing-under-customs-control-pcc,200,2374,584986,en,draft-content-store,details body doesn't match
/guidance/recreation-and-leisure-goods-and-services-import-and-export-regulations,200,2376,635728,en,content-store,related_guides should contain '5c71719b-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/regional-trade-agreements-with-chile-mexico-south-africa-europe-gulf-states-mediterranean-mercosur-and-the-caribbean,200,2377,429257,en,draft-content-store,details body doesn't match
/guidance/regional-trade-agreements-with-chile-mexico-south-africa-europe-gulf-states-mediterranean-mercosur-and-the-caribbean,200,2377,205859,en,content-store,details body doesn't match
/guidance/regional-trade-agreements-with-korea-india-central-america-andean-community-asean-ukraine-and-canada,200,2378,429255,en,draft-content-store,details body doesn't match
/guidance/regional-trade-agreements-with-korea-india-central-america-andean-community-asean-ukraine-and-canada,200,2378,429255,en,content-store,details body doesn't match
/guidance/sanctions-on-iran,200,2380,648613,en,draft-content-store,details body doesn't match
/guidance/sanctions-on-iran,200,2380,648613,en,content-store,details body doesn't match
/guidance/sanctions-on-syria,200,2381,503530,en,draft-content-store,details body doesn't match
/guidance/sanctions-on-syria,200,2381,503530,en,content-store,details body doesn't match
/guidance/sanctions-embargoes-and-restrictions,200,2382,608127,en,draft-content-store,details body doesn't match
/guidance/sanctions-embargoes-and-restrictions,200,2382,608127,en,content-store,details body doesn't match
/guidance/strategic-export-control-training-for-exporters,200,2385,652286,en,draft-content-store,details body doesn't match
/guidance/strategic-export-control-training-for-exporters,200,2385,626993,en,content-store,details body doesn't match
/guidance/supplementary-wmd-end-use-controls,200,2389,404738,en,content-store,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/telecoms-radiocomms-and-broadcasting-equipment-importing-and-exporting,200,2391,606310,en,content-store,related_guides should contain '5c71704f-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c719462-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c71961a-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/temporary-admission,200,2392,601760,en,content-store,related_guides should contain '5c71c409-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/textiles-interior-textiles-and-carpets-import-and-export,200,2395,439165,en,content-store,related_guides should contain '5c71704f-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c719462-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c71961a-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/trade-controls-military-goods-on-trade-fairs-and-exhibitions,200,2399,18786,en,content-store,related_guides should contain '5c7189be-7631-11e4-a3cb-005056011aef' but doesn't,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/transport-controls,200,2405,39688,en,content-store,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/transport-transport-infrastructure-and-services-import-and-export-regulations,200,2408,646218,en,content-store,related_guides should contain '5c71719b-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/uk-strategic-export-control-lists-the-consolidated-list-of-strategic-military-and-dual-use-items,200,2410,345766,en,content-store,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/using-traces-to-trade-in-animals-and-animal-products,200,2415,509728,en,draft-content-store,details body doesn't match
/guidance/using-traces-to-trade-in-animals-and-animal-products,200,2415,509728,en,content-store,details body doesn't match
/guidance/importing-and-exporting-using-international-trade-preferences,200,2416,528803,en,draft-content-store,details body doesn't match
/guidance/importing-and-exporting-using-international-trade-preferences,200,2416,528803,en,content-store,details body doesn't match
/guidance/weapons-of-mass-destruction-wmd-end-use-control,200,2418,404601,en,draft-content-store,details body doesn't match
/guidance/weapons-of-mass-destruction-wmd-end-use-control,200,2418,404601,en,content-store,details body doesn't match,related_guides should contain '5c718a9f-7631-11e4-a3cb-005056011aef' but doesn't
/guidance/farm-business-and-financial-planning,200,2433,205884,en,content-store,details body doesn't match
/guidance/farm-health-and-safety,200,2434,508624,en,draft-content-store,details body doesn't match
/guidance/farm-health-and-safety,200,2434,508624,en,content-store,details body doesn't match
/guidance/agricultural-tenancies,200,2439,613046,en,content-store,the links key 'related_guides' is not present
